Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week
2016,2016-11-05 16:00:00,MER,2383,UNI,237,0,7.0,21.0,14.0,0.0,,42,3.0,7.0,6.0,0.0,,16,26,2016-11-05,11.0
2016,2016-11-05 16:00:00,SBI,284,PAC,2487,0,3.0,0.0,0.0,7.0,0.0,10,0.0,7.0,3.0,0.0,7.0,17,-7,2016-11-05,11.0
2016,2016-11-05 16:00:00,GASO,290,MISS,145,0,3.0,28.0,3.0,3.0,,37,14.0,7.0,3.0,3.0,,27,10,2016-11-05,11.0
2016,2016-11-05 16:00:00,HAM,297,SHE,2828,0,0.0,13.0,14.0,7.0,,34,7.0,14.0,13.0,3.0,,37,-3,2016-11-05,11.0
2016,2016-11-05 16:00:00,MOR,323,JUN,246,0,7.0,10.0,7.0,6.0,,30,14.0,21.0,7.0,0.0,,42,-12,2016-11-05,11.0
2016,2016-11-05 16:00:00,NAR,2886,FIN,2224,0,7.0,7.0,7.0,7.0,,28,0.0,13.0,0.0,0.0,,13,15,2016-11-05,11.0
2016,2016-11-05 16:00:00,WVW,455,VAW,2842,0,10.0,0.0,0.0,0.0,,10,0.0,14.0,14.0,7.0,,35,-25,2016-11-05,11.0
2016,2016-11-05 16:30:00,PITT,221,MIAMI,2390,0,17.0,10.0,7.0,17.0,,51,7.0,14.0,0.0,7.0,,28,23,2016-11-05,11.0
2016,2016-11-05 16:30:00,GT,59,UNC,153,0,17.0,10.0,14.0,7.0,,48,7.0,10.0,3.0,0.0,,20,28,2016-11-05,11.0
2016,2016-11-05 16:30:00,BUCK,2083,LEH,2329,0,7.0,0.0,13.0,0.0,,20,7.0,6.0,0.0,0.0,,13,7,2016-11-05,11.0
2016,2016-11-05 16:30:00,YALE,43,BRWN,225,0,7.0,10.0,3.0,7.0,,27,2.0,3.0,3.0,14.0,,22,5,2016-11-05,11.0
