Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week,HomeConf,VisConf
2013,2013-09-07 17:00:00,ARMY,349,BALL,2050,0,14,13.0,10.0,3.0,,40,7,0.0,7.0,0.0,,14,26,2013-09-07,2,MidAmerican,Independent
2013,2013-09-07 17:00:00,APP,3111,MUH,2422,0,14,21.0,21.0,3.0,,59,0,6.0,0.0,0.0,,6,53,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,GUI,2258,GRN,2256,0,7,7.0,7.0,7.0,,28,10,7.0,7.0,7.0,,31,-3,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,DUQ,2184,DAY,2168,0,7,7.0,6.0,3.0,,23,10,10.0,0.0,0.0,,20,3,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,KEN,352,ALL,2018,0,0,0.0,7.0,0.0,,7,14,8.0,15.0,0.0,,37,-30,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,IND,2291,SOU,2583,0,0,14.0,0.0,6.0,,20,7,7.0,6.0,10.0,,30,-10,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,JOH,118,RAN,2516,0,7,0.0,0.0,7.0,,14,7,7.0,10.0,14.0,,38,-24,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,WMP,2970,KIN,247,0,0,7.0,0.0,12.0,,19,0,7.0,7.0,7.0,,21,-2,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,SBI,284,BLO,2071,0,10,7.0,14.0,10.0,,41,0,0.0,6.0,7.0,,13,28,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,TOWS,119,HC,107,0,7,0.0,0.0,0.0,,7,14,14.0,14.0,7.0,,49,-42,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,ASC,3162,ON,427,0,14,14.0,13.0,14.0,,55,0,0.0,0.0,0.0,,0,55,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,CHA,2128,SHA,2551,0,7,20.0,14.0,3.0,,44,0,7.0,0.0,7.0,,14,30,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,KUT,2315,CLA,2134,0,7,0.0,8.0,17.0,7.0,39,0,18.0,7.0,7.0,6.0,38,1,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,CAS,293,PLY,2972,0,7,14.0,7.0,3.0,,31,14,0.0,14.0,7.0,,35,-4,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,STJ,374,OTT,359,0,0,0.0,0.0,0.0,,0,0,14.0,7.0,7.0,,28,-28,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,WES,2699,CAT,2107,0,0,10.0,0.0,0.0,,10,3,0.0,3.0,3.0,,9,1,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,ALM,2800,HEI,191,0,28,10.0,7.0,7.0,,52,0,7.0,0.0,0.0,,7,45,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,BBG,490,CCI,2119,0,3,0.0,0.0,6.0,,9,14,0.0,13.0,15.0,,42,-33,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,THO,2646,CAP,424,0,0,0.0,0.0,0.0,,0,6,7.0,7.0,0.0,,20,-20,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,OLI,354,WIL,2733,0,7,0.0,6.0,14.0,,27,7,21.0,14.0,6.0,,48,-21,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,FRA,2233,MTU,426,0,13,7.0,3.0,7.0,,30,0,0.0,14.0,13.0,,27,3,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,MUS,332,WAY,2845,0,7,7.0,0.0,7.0,,21,0,7.0,3.0,7.0,,17,4,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,WCU,2717,VT,259,0,7,14.0,14.0,10.0,,45,0,0.0,3.0,0.0,,3,42,2013-09-07,2,ACC,NotMajor
2013,2013-09-07 17:30:00,BET,2062,CEN,2121,0,14,9.0,7.0,3.0,,33,3,6.0,12.0,7.0,,28,5,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,GLE,2249,VMI,2678,0,7,14.0,6.0,7.0,,34,0,7.0,13.0,7.0,,27,7,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:30:00,TIF,2838,MAN,2816,0,3,6.0,11.0,12.0,,32,7,7.0,14.0,0.0,,28,4,2013-09-07,2,NotMajor,NotMajor
