Season,Start,Away,AwayID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week,HomeBCSSOS,HomeRPI,AwayBCSSOS,AwayRPI
2013,2013-09-07 23:00:00,CSU,36,TLSA,202,0,14,0,3,13,,30,7,13,7,0,,27,3,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,JAC,294,JVST,55,0,0,21,24,3,,48,7,3,0,3,,13,35,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,MONM,2405,LIB,2335,0,9,22,14,0,,45,6,0,0,9,,15,30,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,LAM,2320,LT,2348,0,7,7,3,10,,27,0,7,0,7,,14,13,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 23:00:00,SOU,2582,NWST,2466,0,10,21,17,7,,55,0,7,7,0,,14,41,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,SDAK,233,KU,2305,0,0,14,7,10,,31,7,0,0,7,,14,17,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,MCM,241,ACU,2000,0,7,25,21,7,,60,3,0,14,0,,17,43,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,CAL,2858,HIL,2273,0,3,10,0,6,,19,0,0,7,15,,22,-3,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,TRI,386,HOW,2758,0,7,0,8,14,,29,7,21,13,6,,47,-18,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,WVU,277,OKLA,201,0,3,10,0,3,,16,7,0,0,0,,7,9,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,KEA,2871,ALB,2015,0,3,3,14,10,,30,0,0,7,7,,14,16,2013-09-07,2,0,0,0,0
