id,abbrev,location,name,SportsRefName,SportsRefAlt,DonBestName,DonBestAlt,DonBestAlt2
418,HEND,Hendrix College,Warriors,Hendrix College,,Hendrix College,,
419,MAN,Mid Am Nazarene,Mid Am Nazarene,Mid Am Nazarene,,Mid Am Nazarene,,
421,MAR,Maranatha Baptist College,Crusaders,Maranatha Baptist College,,Maranatha Baptist College,,
424,CAP,Capital,Crusaders,Capital,,Capital,,
425,NOR,Northern State,Wolves,Northern State,,Northern State,,
426,MTU,Mount Union,Raiders,Mount Union,,Mount Union,,
427,ON,Ohio Northern,Polar Bears,Ohio Northern,,Ohio Northern,,
433,WMN,Westminster,Blue Jays,Westminster,,Westminster,,
437,LKE,Lake Erie College,Storm,Lake Erie College,,Lake Erie College,,
446,MAR,Martin Luther College,Knights,Martin Luther College,,Martin Luther College,,
452,END,Endicott College,Gulls,Endicott College,,Endicott College,,
455,WVW,WV Wesleyan,Bobcats,WV Wesleyan,,WV Wesleyan,,
471,STU,Stevenson,Mustangs,Stevenson,,Stevenson,,
479,BEC,Becker College,Hawks,Becker College,,Becker College,,
481,MOU,Mount Ida College,Mustangs,Mount Ida College,,Mount Ida College,,
487,BKN,Bacone College,Warriors,Bacone College,,Bacone College,,
488,BAK,Baker University,Wildcats,Baker University,,Baker University,,
490,BBG,Benedict College,Tigers,Benedict College,,Benedict College,,
492,BET,Bethany (KS),Swedes,Bethany (KS),,Bethany (KS),,
495,BLU,Bluefield College,Rams,Bluefield College,,Bluefield College,,
507,CCD,Concordia (NE),Concordia University (NE),Concordia (NE),,Concordia (NE),,
509,CRO,Crown College,Storm,Crown College,,Crown College,,
510,CUL,Culver-Stockton,Wildcats,Culver-Stockton,,Culver-Stockton,,
511,CUM,Cumberland College,Indians,Cumberland College,,Cumberland College,,
512,DSU,Dakota State,Trojans,Dakota State,,Dakota State,,
513,DWU,Dakota Wesleyan,Tigers,Dakota Wesleyan,,Dakota Wesleyan,,
527,FRIE,Friends University,Falcons,Friends University,,Friends University,,
535,HAS,Haskell Indian Nations,Jayhawks,Haskell Indian Nations,,Haskell Indian Nations,,
547,KNW,Kansas Wesleyan University,Coyotes,Kansas Wesleyan University,,Kansas Wesleyan University,,
548,LAG,LaGrange College,Panthers,LaGrange College,,LaGrange College,,
556,MAL,Malone,Pioneers,Malone,,Malone,,
559,MAR,University of Mary,Marauders,University of Mary,,University of Mary,,
