teams_key,DateTime,Season,CTMC_Rating_Home,CTMC_Rating_Away
2649-2711,2013-10-05 19:00:00,2013,0.005528422732049867,0.0019025369509262661
5-2226,2013-10-05 19:00:00,2013,0.0027142266878616545,0.0036836611352353468
2390-59,2013-10-05 19:30:00,2013,0.014106078281804404,0.00852795122619523
183-228,2013-10-05 19:30:00,2013,0.005515882171365913,0.01594841266840947
2633-61,2013-10-05 19:30:00,2013,0.00874584251888023,0.012640889057628618
2655-249,2013-10-05 19:30:00,2013,0.0036012361544774654,0.0060217441922462535
154-152,2013-10-05 19:30:00,2013,0.004031110855222786,0.005385179550360371
202-242,2013-10-05 19:30:00,2013,0.0037992168035751897,0.006405999060557188
189-113,2013-10-05 19:30:00,2013,0.005160552100663925,0.0010547949598986735
2309-2459,2013-10-05 19:30:00,2013,0.0026520257328623838,0.0051354940537817985
