HomeID,VisID,Season,Week,HomePredFinal,VisPredFinal
103,349,2001,6,32.62000969088149,18.71824290882796
235,349,2001,13,32.78147363065182,21.02496070228517
248,349,2001,7,28.503485351466225,21.726878056302667
151,349,2001,8,32.073392067019086,20.012985086534172
2628,151,2001,11,24.19527413664764,27.585506884846836
183,151,2001,6,24.817844036942915,26.624767404515296
2572,151,2001,14,26.267523785396406,24.81772183254361
97,151,2001,13,29.763614667355796,22.289258191827685
153,151,2001,7,26.358371207292294,25.26373267825693
235,151,2001,9,26.917048755809446,24.947603181935847
2628,5,2001,12,27.349709061933027,25.853315863758326
2655,5,2001,9,22.985225927966894,26.971082551404834
2572,5,2001,6,23.76984524483123,25.369966582395136
2132,5,2001,8,24.63049052790302,25.54188986029476
349,5,2001,5,25.470263093222457,21.463956136722118
221,5,2001,15,25.79113499704181,26.896496871486306
235,5,2001,10,26.47013476474058,24.915697210934013
248,5,2001,13,16.36378830807371,33.63322360208258
2116,5,2001,7,17.61983753061577,30.117878365330398
2628,2572,2001,16,21.983748394914073,28.07005120208487
2655,2572,2001,13,21.421264659658846,30.889258089940995
309,2572,2001,5,22.685644707547908,28.91208241134882
21,252,2001,10,21.325081726630742,37.35747759602964
2439,252,2001,6,15.80188608255412,33.60738502256572
328,252,2001,7,17.868398235947097,33.1804585903883
36,252,2001,11,24.805374958814355,33.27947628730908
344,252,2001,15,23.129722383593617,35.558660325594246
2751,252,2001,12,20.92142328549744,38.82644369266927
254,252,2001,13,29.807878503159372,26.962607983965427
167,252,2001,8,22.174961331382292,32.20038228109479
62,252,2001,16,29.15738158188833,30.536033649463207
2633,99,2001,6,26.149714256323932,25.06528788805008
2633,99,2001,16,29.964426348560664,23.29762894520536
344,99,2001,9,23.975161803144147,27.622426537796855
145,99,2001,10,27.962199613690245,23.936382656451315
2393,99,2001,12,26.67474242897697,27.234070075675845
2655,2116,2001,5,22.079723908125743,26.867517326492816
328,2116,2001,10,20.626206567745612,29.868617449421436
259,2116,2001,6,37.971483685565545,14.589140731841326
2433,2116,2001,9,17.994016157626902,33.0216263178736
309,2116,2001,14,18.463628184121262,32.6438083560206
2655,2132,2001,7,24.13729084046463,27.52423754008487
97,2132,2001,10,31.053940557014357,21.801510035526007
2433,2132,2001,15,18.244292319144733,34.66620685253292
193,2132,2001,5,22.19978015030574,25.871757350862026
41,2132,2001,11,22.768814050932633,29.927566641941667
235,2132,2001,14,27.795163592134486,25.739281687885523
248,2132,2001,9,20.251697817951936,30.686996306292713
151,2132,2001,12,31.686527366851806,21.88648859737441
2655,2628,2001,8,20.073808813913274,32.02091849409044
2655,2426,2001,12,27.833197336483863,22.995887552853674
2649,2426,2001,10,39.84218790270643,13.720670076552778
164,2426,2001,9,26.933788205369638,24.560608160682023
242,2426,2001,8,34.47331809471689,19.674606306944042
87,2426,2001,13,34.593834527786385,17.379000034648925
154,153,2001,12,22.997137697610015,28.125477446708828
2567,153,2001,15,19.55660407930918,31.550532274413854
258,153,2001,8,27.5360847473803,25.171988372225314
21,2005,2001,6,24.251738413957355,27.469968135468662
2439,2005,2001,13,27.611274731109006,24.848493714351207
36,2005,2001,12,27.58855944761308,25.39444298762828
2751,2005,2001,8,24.437848073868736,28.817622639704496
254,2005,2001,15,37.609517204025906,16.564927312079817
2426,2005,2001,7,18.341959293404216,32.28168384451419
167,2005,2001,10,25.990482451401476,26.40602717222646
349,2005,2001,11,22.510268043250107,29.257048432715237
252,2005,2001,9,33.38508666628513,22.662840159144253
62,2005,2001,14,33.004826165457416,21.153805874753743
201,2305,2001,8,34.97828372247386,17.24819950060919
251,2305,2001,12,43.07958184733798,9.79105935106054
142,2305,2001,9,28.67215224159918,22.44855839945376
2751,2305,2001,14,27.13795975155699,24.189010915346444
