user,item,rating
145|2747,SpreadMirage,-44
145|2747,SpreadPinnacle,-44
145|2747,SpreadSBG,-44
145|2747,SpreadSIA,-44
145|2747,SpreadSportsbet,-44
145|2747,SpreadStation,-44
145|2747,SpreadWag,-44
145|2747,SpreadWestgate,-44
145|290,SpreadMirage,-27.890412250724204
145|290,SpreadPinnacle,-28
145|290,SpreadSBG,-28
145|290,SpreadSIA,-28
145|290,SpreadSportsbet,-28
145|290,SpreadStation,-27.946599035495215
145|290,SpreadWag,-27.5
145|290,SpreadWestgate,-28
145|333,SpreadMirage,10.5
145|333,SpreadPinnacle,10
145|333,SpreadSBG,10.5
145|333,SpreadSIA,10.5
145|333,SpreadSportsbet,10.5
145|333,SpreadStation,11
145|333,SpreadWag,10.5
145|333,SpreadWestgate,10.5
145|344,SpreadMirage,-9.5
145|344,SpreadPinnacle,-10
145|344,SpreadSBG,-9.5
145|344,SpreadSIA,-10
145|344,SpreadSportsbet,-10
145|344,SpreadStation,-10
145|344,SpreadWag,-9.5
145|344,SpreadWestgate,-10
145|61,SpreadMirage,-7.5
145|61,SpreadPinnacle,-6.5
145|61,SpreadSBG,-7
145|61,SpreadSIA,-6.5
145|61,SpreadSportsbet,-7
145|61,SpreadStation,-7
145|61,SpreadWag,-7
145|61,SpreadWestgate,-7
150|153,SpreadMirage,11.5
150|153,SpreadPinnacle,11.5
150|153,SpreadSBG,11
150|153,SpreadSIA,11
150|153,SpreadSportsbet,11
150|153,SpreadStation,11.5
150|153,SpreadWag,11.12232423309142
150|153,SpreadWestgate,11
150|154,SpreadMirage,-6.5
150|154,SpreadPinnacle,-6.5
150|154,SpreadSBG,-7
150|154,SpreadSIA,-7
150|154,SpreadSportsbet,-7
150|154,SpreadStation,-6.5
150|154,SpreadWag,-7
150|154,SpreadWestgate,-6.5
150|2428,SpreadMirage,-34.5
150|2428,SpreadPinnacle,-34.5
150|2428,SpreadSBG,-34.5
150|2428,SpreadSIA,-34.5
150|2428,SpreadSportsbet,-34.5
150|2428,SpreadStation,-34.50000000000001
150|2428,SpreadWag,-34.5
150|2428,SpreadWestgate,-34.5
150|258,SpreadMirage,-3.5
150|258,SpreadPinnacle,-3
150|258,SpreadSBG,-3
150|258,SpreadSIA,-3
150|258,SpreadSportsbet,-3
150|258,SpreadStation,-3
150|258,SpreadWag,-3.5
150|258,SpreadWestgate,-3
150|259,SpreadMirage,13.5
150|259,SpreadPinnacle,12.5
150|259,SpreadSBG,12.5
150|259,SpreadSIA,13
150|259,SpreadSportsbet,12.5
150|259,SpreadStation,13
150|259,SpreadWag,12
150|259,SpreadWestgate,13
150|349,SpreadMirage,-5
150|349,SpreadPinnacle,-5.5
150|349,SpreadSBG,-5
150|349,SpreadSIA,-5.5
150|349,SpreadSportsbet,-5
150|349,SpreadStation,-5
