Season,Start,Week,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal
2015,9/5/2015 23:00,0,FIN,2224,HIL,2273,0,0,10,3,21,,34,14,14,14,3,,45
2015,9/5/2015 23:00,0,ULL,309,UK,96,0,14,10,9,7,,40,0,7,10,16,,33
2015,9/5/2015 23:00,0,STI,2948,WES,2695,0,3,21,21,7,,52,7,0,2,0,,9
2015,9/5/2015 23:00,0,SWO,2927,SOU,2568,0,0,13,9,6,,28,0,7,7,10,,24
2015,9/5/2015 23:00,0,GRE,2257,MIL,74,0,0,0,28,6,,34,0,3,7,6,,16
2015,9/5/2015 23:00,0,MAR,317,DEN,2171,0,7,17,7,10,,41,0,7,0,7,,14
2015,9/5/2015 23:00,0,TUS,2839,VAW,2842,0,14,7,0,7,,28,0,10,27,10,,47
2015,9/5/2015 23:00,0,SOU,2582,LT,2348,0,24,28,7,3,,62,8,0,7,0,,15
2015,9/5/2015 23:00,0,MAR,2371,OHI,2980,0,0,3,0,0,,3,7,7,6,22,,42
2015,9/5/2015 23:10,0,STMN,2900,WIS,2738,0,0,0,7,0,,7,7,31,21,3,,62
2015,9/5/2015 23:10,0,SDAK,233,KSU,2306,0,7,17,3,7,,34,0,0,0,0,,0
2015,9/5/2015 23:30,0,BEN,2283,CEN,2964,0,0,6,0,13,,19,7,7,0,7,,21
2015,9/5/2015 23:30,0,CATH,2108,MCD,2700,0,3,20,0,10,,33,7,0,7,20,,34
2015,9/5/2015 23:30,0,GASO,290,WVU,277,0,10,6,14,14,,44,0,0,0,0,,0
2015,9/5/2015 23:30,0,TEX,251,ND,87,0,14,3,14,7,,38,0,0,3,0,,3
2015,9/5/2015 23:30,0,NMSU,166,FLA,57,0,7,27,13,14,,61,0,13,0,0,,13
2015,9/5/2015 23:30,0,UNLV,2439,NIU,2459,0,3,7,14,14,,38,7,10,3,10,,30
2015,9/6/2015 0:00,0,MESA,11,DIX,3101,0,0,3,0,0,,3,14,20,9,0,,43
2015,9/6/2015 0:00,0,UNI,2460,ISU,66,0,0,10,14,7,,31,0,7,0,0,,7
2015,9/6/2015 0:00,0,TNTC,2635,HOU,248,0,14,10,7,21,,52,3,7,0,14,,24
2015,9/6/2015 0:00,0,EWU,331,ORE,2483,0,20,17,17,7,,61,7,14,14,7,,42
2015,9/6/2015 0:00,0,BET,492,HBU,2277,0,20,17,7,7,,51,0,7,0,0,,7
2015,9/6/2015 0:00,0,AUG,124,WAR,2685,0,7,7,14,7,,35,0,14,13,0,,27
2015,9/6/2015 0:00,0,WIS,275,ALA,333,1,7,7,14,7,,35,0,7,3,7,,17
2015,9/6/2015 0:00,0,TXCL,2637,MIS,2401,0,12,21,14,14,,61,0,6,0,0,,6
2015,9/6/2015 0:00,0,USD,301,SDSU,21,0,14,6,7,10,,37,0,0,3,0,,3
2015,9/6/2015 0:00,0,TRU,2654,MID,2395,0,17,0,0,14,,31,0,3,0,0,,3
2015,9/6/2015 0:00,0,BKN,487,LAM,2320,0,14,31,14,7,,66,0,0,0,3,,3
2015,9/6/2015 0:00,0,IOW,2295,COR,2155,0,3,13,17,0,,33,2,0,7,0,,9
2015,9/6/2015 0:00,0,MCM,241,EAS,2194,0,0,22,0,0,,22,21,14,7,7,,49
2015,9/6/2015 0:00,0,GUS,2968,CRO,509,0,0,6,0,7,,13,28,21,0,7,,56
2015,9/6/2015 0:00,0,LAKE,6353,CAR,32,0,7,13,7,0,6,33,0,13,6,8,7,34
2015,9/6/2015 0:05,0,MVSU,2400,UNM,167,0,21,17,21,7,,66,0,0,0,0,,0
2015,9/6/2015 0:45,0,AAMU,2010,CIN,2132,0,7,28,17,0,,52,7,0,0,3,,10
2015,9/6/2015 1:00,0,CP,13,MONT,149,0,7,7,0,5,,19,7,7,3,3,,20
2015,9/6/2015 1:00,0,WES,2848,HUM,2278,0,7,12,0,10,,29,0,7,0,13,,20
2015,9/6/2015 1:00,0,PVAM,2504,TXSO,2640,0,0,3,0,8,,11,7,3,14,14,,38
2015,9/6/2015 1:03,0,TXST,326,FSU,52,0,14,7,14,24,,59,0,10,0,6,,16
2015,9/6/2015 1:05,0,EAS,2202,SAC,16,0,14,17,10,0,,41,0,0,6,14,,20
2015,9/6/2015 2:00,0,MSST,344,USM,2572,0,10,0,3,3,,16,7,7,13,7,,34
2015,9/6/2015 3:00,0,ARST,2032,USC,30,0,14,14,14,13,,55,0,0,6,0,,6
2015,9/6/2015 19:00,0,PUR,2509,MRSH,276,0,17,0,10,14,,41,14,7,7,3,,31
2015,9/6/2015 19:30,0,UAPB,2029,SCST,2569,1,7,0,21,7,,35,0,0,7,0,,7
2015,9/6/2015 23:00,0,ALST,2011,TNST,2634,0,0,3,0,21,,24,7,0,7,0,,14
2015,9/6/2015 23:00,0,MIL,2396,NOR,2453,1,0,14,6,14,,34,3,0,0,14,,17
2015,9/8/2015 0:00,0,OSU,194,VT,259,0,0,17,0,7,,24,14,0,14,14,,42
2015,9/10/2015 22:00,0,MIL,210,CLA,2134,0,13,7,7,0,,27,0,7,7,7,,21
2015,9/10/2015 23:00,0,CUM,2161,WES,2695,0,7,0,14,13,,34,2,6,0,0,,8
2015,9/10/2015 23:00,0,WVW,455,GLE,2249,0,27,3,14,20,,64,14,6,21,7,,48
2015,9/10/2015 23:30,0,SOU,2582,MVSU,2400,0,0,6,7,0,,13,20,13,17,0,,50
2015,9/10/2015 23:30,0,BET,2064,UTM,2630,0,7,30,21,14,,72,3,0,0,7,,10
2015,9/10/2015 23:30,0,MAR,2373,ETSU,2193,0,14,7,0,0,,21,7,14,0,7,,28
2015,9/11/2015 0:00,0,NEO,196,FHSU,2231,0,3,3,7,14,,27,7,6,0,0,,13
2015,9/11/2015 0:00,0,MOS,2403,NWMS,138,0,10,10,21,7,,48,0,0,0,7,,7
2015,9/11/2015 0:00,0,LT,2348,WKU,98,0,14,13,11,3,,41,0,17,7,14,,38
2015,9/11/2015 0:00,0,EAS,2191,HEN,2271,0,21,7,0,0,,28,7,14,7,7,,35
2015,9/11/2015 0:00,0,CEN,2120,DIX,3101,0,14,7,14,14,,49,6,7,0,7,,20
2015,9/11/2015 16:00,0,NEB,2438,WAS,2687,0,14,7,6,7,,34,7,0,0,7,,14
2015,9/11/2015 22:00,0,MAR,2951,MAS,110,0,0,21,20,7,,48,3,0,0,10,,13
2015,9/11/2015 23:00,0,FIT,114,CUR,40,0,0,0,0,3,,3,7,3,14,7,,31
2015,9/11/2015 23:00,0,NH,2441,BEN,2060,0,7,7,7,0,,21,7,6,0,9,,22
2015,9/11/2015 23:00,0,WPI,2749,WOR,402,0,0,0,7,6,,13,7,7,10,3,,27
2015,9/11/2015 23:00,0,DV,2808,WIL,398,0,0,0,6,6,,12,7,0,0,0,,7
2015,9/11/2015 23:00,0,MAS,379,SPR,81,0,7,7,7,20,,41,0,14,0,6,,20
2015,9/11/2015 23:00,0,WES,2702,WES,2909,0,0,0,0,0,,0,14,10,0,7,,31
2015,9/11/2015 23:00,0,SBI,284,MER,2771,0,6,0,7,7,,20,0,7,3,14,,24
2015,9/12/2015 0:00,0,BKN,487,TXSO,2640,0,14,21,14,14,,63,0,0,0,0,,0
2015,9/12/2015 0:00,0,MIAMI,2390,FAU,2226,0,10,7,3,0,,20,14,6,17,7,,44
2015,9/12/2015 1:00,0,USU,328,UTAH,254,0,7,7,7,3,,24,0,14,0,0,,14
2015,9/12/2015 15:30,0,USF,58,FSU,52,0,7,0,17,10,,34,0,7,0,7,,14
2015,9/12/2015 16:00,0,KSU,2306,UTSA,2636,0,3,0,0,0,,3,0,7,6,17,,30
2015,9/12/2015 16:00,0,COR,2782,FRA,2967,0,7,7,14,21,,49,14,21,6,20,,61
2015,9/12/2015 16:00,0,BUFF,2084,PSU,213,0,0,10,3,14,,27,0,0,7,7,,14
2015,9/12/2015 16:00,0,HOU,248,LOU,97,0,7,7,3,14,,31,7,3,7,17,,34
2015,9/12/2015 16:00,0,WES,2846,FRO,341,0,0,3,0,0,,3,0,27,10,7,,44
2015,9/12/2015 16:00,0,UTI,390,ON,427,0,7,0,7,15,,29,0,10,12,0,,22
2015,9/12/2015 16:00,0,FDU,2221,CNJ,2442,0,10,7,0,12,,29,0,20,14,0,,34
2015,9/12/2015 16:00,0,STA,2830,PAC,2487,0,7,0,7,0,,14,7,7,10,7,,31
2015,9/12/2015 16:00,0,INST,282,PUR,2509,0,14,10,7,7,,38,0,7,7,0,,14
2015,9/12/2015 16:00,0,END,452,HOB,174,0,7,7,7,7,,28,0,9,0,8,,17
2015,9/12/2015 16:00,0,WIU,2710,ILL,356,0,10,20,0,14,,44,0,0,0,0,,0
2015,9/12/2015 16:00,0,ASH,308,WAL,2682,0,3,7,0,14,0,24,0,7,3,14,7,31
2015,9/12/2015 16:00,0,SHI,2559,EDI,2205,0,0,13,0,0,,13,0,3,10,7,,20
2015,9/12/2015 16:00,0,ARMY,349,CONN,41,0,3,9,7,3,,22,3,7,0,7,,17
2015,9/12/2015 16:00,0,STJ,2601,ABC,2017,0,6,0,6,7,,19,0,0,0,0,,0
2015,9/12/2015 16:00,0,BGSU,189,MD,120,0,10,3,7,7,,27,0,6,14,28,,48
2015,9/12/2015 16:00,0,CHE,2129,GAN,367,0,7,7,14,16,,44,6,0,0,0,,6
2015,9/12/2015 16:00,0,WES,223,MER,2385,0,14,17,0,6,,37,14,21,0,0,,35
2015,9/12/2015 16:00,0,RICH,257,HAMP,2261,0,14,7,7,0,,28,7,3,6,15,,31
2015,9/12/2015 16:00,0,PRE,2506,CHAR,2429,0,7,17,10,0,,34,0,0,0,10,,10
2015,9/12/2015 16:00,0,ASP,2038,LIU,2089,0,10,10,0,20,,40,3,13,6,9,,31
2015,9/12/2015 16:00,0,SHO,2560,CNEW,2105,0,7,7,3,3,,20,7,0,0,0,,7
2015,9/12/2015 16:00,0,JVST,55,AUB,2,0,3,3,7,7,7,27,0,10,0,10,0,20
