user,item,rating
11|2570,SpreadMirage,NA
11|2570,SpreadPinnacle,NA
11|2570,SpreadSBG,NA
11|2570,SpreadSIA,NA
11|2570,SpreadSportsbet,NA
11|2570,SpreadStation,NA
11|2570,SpreadWag,NA
11|2570,SpreadWestgate,NA
11|2714,SpreadMirage,NA
11|2714,SpreadPinnacle,NA
11|2714,SpreadSBG,NA
11|2714,SpreadSIA,NA
11|2714,SpreadSportsbet,NA
11|2714,SpreadStation,NA
11|2714,SpreadWag,NA
11|2714,SpreadWestgate,NA
11|3101,SpreadMirage,NA
11|3101,SpreadPinnacle,NA
11|3101,SpreadSBG,NA
11|3101,SpreadSIA,NA
11|3101,SpreadSportsbet,NA
11|3101,SpreadStation,NA
11|3101,SpreadWag,NA
11|3101,SpreadWestgate,NA
110|274,SpreadMirage,NA
110|274,SpreadPinnacle,NA
110|274,SpreadSBG,NA
110|274,SpreadSIA,NA
110|274,SpreadSportsbet,NA
110|274,SpreadStation,NA
110|274,SpreadWag,NA
110|274,SpreadWestgate,NA
110|2843,SpreadMirage,NA
110|2843,SpreadPinnacle,NA
110|2843,SpreadSBG,NA
110|2843,SpreadSIA,NA
110|2843,SpreadSportsbet,NA
110|2843,SpreadStation,NA
110|2843,SpreadWag,NA
110|2843,SpreadWestgate,NA
110|2909,SpreadMirage,NA
110|2909,SpreadPinnacle,NA
110|2909,SpreadSBG,NA
110|2909,SpreadSIA,NA
110|2909,SpreadSportsbet,NA
110|2909,SpreadStation,NA
110|2909,SpreadWag,NA
110|2909,SpreadWestgate,NA
110|2967,SpreadMirage,NA
110|2967,SpreadPinnacle,NA
110|2967,SpreadSBG,NA
110|2967,SpreadSIA,NA
110|2967,SpreadSportsbet,NA
110|2967,SpreadStation,NA
110|2967,SpreadWag,NA
110|2967,SpreadWestgate,NA
110|402,SpreadMirage,NA
110|402,SpreadPinnacle,NA
110|402,SpreadSBG,NA
110|402,SpreadSIA,NA
110|402,SpreadSportsbet,NA
110|402,SpreadStation,NA
110|402,SpreadWag,NA
110|402,SpreadWestgate,NA
112|121,SpreadMirage,NA
112|121,SpreadPinnacle,NA
112|121,SpreadSBG,NA
112|121,SpreadSIA,NA
112|121,SpreadSportsbet,NA
112|121,SpreadStation,NA
112|121,SpreadWag,NA
112|121,SpreadWestgate,NA
112|2731,SpreadMirage,NA
112|2731,SpreadPinnacle,NA
112|2731,SpreadSBG,NA
112|2731,SpreadSIA,NA
112|2731,SpreadSportsbet,NA
112|2731,SpreadStation,NA
112|2731,SpreadWag,NA
112|2731,SpreadWestgate,NA
112|33,SpreadMirage,NA
112|33,SpreadPinnacle,NA
112|33,SpreadSBG,NA
112|33,SpreadSIA,NA
112|33,SpreadSportsbet,NA
112|33,SpreadStation,NA
112|33,SpreadWag,NA
112|33,SpreadWestgate,NA
112|348,SpreadMirage,NA
112|348,SpreadPinnacle,NA
112|348,SpreadSBG,NA
112|348,SpreadSIA,NA
112|348,SpreadSportsbet,NA
112|348,SpreadStation,NA
112|348,SpreadWag,NA
112|348,SpreadWestgate,NA
113|103,SpreadMirage,NA
113|103,SpreadPinnacle,17.5
113|103,SpreadSBG,NA
113|103,SpreadSIA,17
113|103,SpreadSportsbet,17.5
113|103,SpreadStation,NA
113|103,SpreadWag,17.5
113|103,SpreadWestgate,18
113|189,SpreadMirage,5.5
113|189,SpreadPinnacle,6
113|189,SpreadSBG,6
113|189,SpreadSIA,5.5
113|189,SpreadSportsbet,6
113|189,SpreadStation,NA
113|189,SpreadWag,6
113|189,SpreadWestgate,5.5
113|2050,SpreadMirage,-3
113|2050,SpreadPinnacle,-3
113|2050,SpreadSBG,-3
113|2050,SpreadSIA,-3.5
113|2050,SpreadSportsbet,-3.5
113|2050,SpreadStation,-3.5
113|2050,SpreadWag,NA
113|2050,SpreadWestgate,-3.5
113|2084,SpreadMirage,3
113|2084,SpreadPinnacle,3.5
113|2084,SpreadSBG,3.5
113|2084,SpreadSIA,3.5
113|2084,SpreadSportsbet,3.5
113|2084,SpreadStation,NA
113|2084,SpreadWag,3
113|2084,SpreadWestgate,3.5
113|2199,SpreadMirage,-15
113|2199,SpreadPinnacle,-15
113|2199,SpreadSBG,-14.5
113|2199,SpreadSIA,-15
113|2199,SpreadSportsbet,-15
113|2199,SpreadStation,NA
113|2199,SpreadWag,-14.5
113|2199,SpreadWestgate,-14.5
113|38,SpreadMirage,NA
113|38,SpreadPinnacle,17.5
113|38,SpreadSBG,NA
113|38,SpreadSIA,18
113|38,SpreadSportsbet,18
113|38,SpreadStation,NA
113|38,SpreadWag,17.5
113|38,SpreadWestgate,18
114|110,SpreadMirage,NA
114|110,SpreadPinnacle,NA
114|110,SpreadSBG,NA
114|110,SpreadSIA,NA
114|110,SpreadSportsbet,NA
114|110,SpreadStation,NA
114|110,SpreadWag,NA
114|110,SpreadWestgate,NA
114|2843,SpreadMirage,NA
114|2843,SpreadPinnacle,NA
114|2843,SpreadSBG,NA
114|2843,SpreadSIA,NA
114|2843,SpreadSportsbet,NA
114|2843,SpreadStation,NA
114|2843,SpreadWag,NA
114|2843,SpreadWestgate,NA
114|2909,SpreadMirage,NA
114|2909,SpreadPinnacle,NA
114|2909,SpreadSBG,NA
114|2909,SpreadSIA,NA
114|2909,SpreadSportsbet,NA
114|2909,SpreadStation,NA
114|2909,SpreadWag,NA
114|2909,SpreadWestgate,NA
114|2967,SpreadMirage,NA
114|2967,SpreadPinnacle,NA
114|2967,SpreadSBG,NA
114|2967,SpreadSIA,NA
114|2967,SpreadSportsbet,NA
