HomeID,VisID,SpreadMed
328,2032,-9.5
2636,9,21.5
3178,548,
2205,223,
2646,2686,
213,218,-8.5
275,2247,-35.0
2184,2168,
2682,129,
237,2702,
2148,2666,
235,2305,-20.0
2628,66,-25.0
2026,2390,4.0
2477,2392,
2085,365,
164,167,-7.5
276,2006,-17.5
228,2569,-53.5
293,2776,
2619,257,
109,2528,
81,481,
367,2071,
2633,195,-27.0
452,2779,
97,52,-2.0
2385,2188,
110254,2316,
118,323,
2843,2972,
209,215,
189,2393,6.5
2294,2449,-14.5
2974,2842,
2022,2487,
479,2884,
2532,2818,
59,238,-6.5
402,18,
171,2598,
319,199,
2274,352,
2886,2222,
2129,2291,
110,274,
2858,210,
2441,2830,
375,101,
398,2969,
366,297,
2559,2134,
379,2909,
2644,2062,
2102,2845,
2249,2128,
3162,184,
2015,2354,
2828,286,
2911,2601,
241,2637,
2045,2850,
247,2808,
2707,455,
2175,216,
3111,2079,
2516,291,
2803,225,
2913,351,
471,388,
2614,2242,
89,2018,
2551,2882,
2782,374,
2248,246,
40,15,
2234,2667,
2256,417,
109418,271,
2193,2717,
2557,2108,
2310,330,
41,258,-3.25
2189,2023,
2074,2419,
190,2233,
2119,490,
43,2142,
426,317,
2107,2105,
2373,2213,
2141,263,
2600,133,
2043,2772,
409,2800,
273,433,
2151,2812,
265,70,-28.25
2964,63,
2703,2824,
2700,2422,
49,2564,
72,75,
2286,2359,
80,2398,
2155,262,
6353,2790,
6845,2685,
2146,11,
3214,421,
2318,2721,
2553,3,
2741,354,
2181,2816,
65,266,
2748,83,
2044,2651,
2851,425,
255,2832,
143,2121,
2968,124,
2698,2170,
446,509,
2467,2749,
55,324,
561,2744,
202,2448,-31.5
2919,2891,
2587,559,
2519,2757,
173,2781,
2938,2056,
2123,2714,
2674,2907,
2802,2152,
2106,396,
2257,2295,
556,587,
2524,126,
2069,3101,
2900,2101,
138,2438,
2262,86,
2306,2226,-23.5
2838,2273,
2817,389,
2271,2823,
611,2315,
2333,2923,
2115,2075,
2649,278,-22.0
2094,2930,
2050,2198,-13.0
2876,2825,
630,2758,
2117,2439,-12.0
2324,2323,
2287,2197,
2747,2304,
2630,487,
2214,2403,
2001,2237,
2201,2837,
183,58,12.5
197,221,-2.5
130,38,-17.5
153,256,-24.5
193,98,17.5
