Visiter,VisRushY,VisRushA,VisPassY,VisPassA,VisPassC,VisPnl,VisPnlY,VisFmb,VisInt,VisFrstD,VisThrdDA,VisThrdDC,VisFrthDA,VisFrthDC,VisTm,Home,HomeRushY,HomeRushA,HomePassY,HomePassA,HomePassC,HomePnl,HomePnlY,HomeFmb,HomeInt,HomeFrstD,HomeThrdDA,HomeThrdDC,HomeFrthDA,HomeFrthDC,HomeTm,Year,Month,Day,HomeID,VisID
Troy,71,36,201,31,21,5,55,1,0,15,16,5,3,1,1783,UAB,338,55,152,20,13,3,35,1,1,25,14,9,0,0,1817,2014,8,30,5.0,2653.0
William & Mary,76,28,117,23,9,4,26,2,0,12,12,1,0,0,1626,VT,222,42,266,31,24,10,75,1,1,24,15,8,0,0,1958,2014,8,30,259.0,
Washington,174,48,162,26,10,5,35,0,0,19,16,5,0,0,1549,Hawaii,217,54,207,43,23,5,36,0,0,26,23,10,2,1,2051,2014,8,30,62.0,264.0
Savannah State,145,35,84,31,15,10,73,2,1,13,14,4,2,0,1971,Mid Tennessee,228,46,291,20,17,9,70,2,1,22,10,9,0,0,1869,2014,8,30,2393.0,
Austin Peay,116,34,30,16,6,9,61,1,1,8,13,1,0,0,1547,Memphis,303,55,242,27,20,6,55,1,1,28,13,6,2,2,2053,2014,8,30,235.0,
Elon,138,31,190,38,19,4,21,0,0,17,14,4,2,1,1640,Duke,275,44,292,42,28,2,15,0,0,31,12,3,6,5,1960,2014,8,30,150.0,
Bethune-Cookman,90,43,149,17,8,10,86,0,0,11,16,5,2,1,1946,FIU,43,32,143,33,16,8,47,0,0,12,16,1,5,3,1654,2014,8,30,2229.0,
SF Austin,69,21,225,39,24,10,69,1,0,14,14,5,1,0,1335,Kansas State,240,51,238,30,20,3,15,0,1,29,14,8,2,2,2265,2014,8,30,2306.0,
Penn State,57,28,454,47,32,9,90,1,2,24,18,10,2,1,2022,UCF,24,29,222,22,12,8,47,1,0,11,13,5,2,1,1527,2014,8,30,2116.0,213.0
W Carolina,80,29,378,68,47,5,45,1,1,27,20,9,2,2,2246,USF,294,33,191,27,10,6,38,1,1,13,13,4,2,0,1337,2014,8,30,58.0,
Liberty,157,41,189,33,16,2,19,4,2,15,14,5,0,0,1914,UNC,208,48,235,45,29,10,60,1,3,29,17,9,1,0,1665,2014,8,30,153.0,
OSU,194,40,226,15,12,2,20,0,1,19,8,2,2,1,1654,Navy,370,63,20,4,2,3,20,1,0,22,12,4,1,1,1946,2014,8,30,2426.0,194.0
Southern,77,32,202,40,20,5,35,0,0,14,19,7,2,0,1819,LA-Lafayette,248,41,264,36,24,4,30,0,2,28,14,7,2,2,1781,2014,8,30,309.0,2582.0
Indiana State,30,24,140,33,17,2,22,0,0,10,14,2,2,1,1420,Indiana,455,69,111,18,11,4,30,1,1,29,17,11,2,0,2180,2014,8,30,84.0,
Appalachian St,153,36,127,33,17,8,69,0,0,17,17,5,3,2,1792,Michigan,350,36,210,19,16,4,44,0,1,24,8,5,0,0,1808,2014,8,30,130.0,2026.0
UTEP,330,44,116,22,11,2,10,0,0,20,14,7,1,0,1873,New Mexico,410,52,67,9,5,3,25,2,1,20,11,3,3,1,1727,2014,8,30,167.0,2638.0
Cent Arkansas,178,54,228,40,24,5,34,0,0,28,19,5,6,6,2016,Texas Tech,184,36,452,53,39,15,114,0,2,35,11,6,2,2,1584,2014,8,30,2641.0,
NC Central,70,31,104,22,13,10,91,1,0,10,14,4,0,0,1888,ECU,208,28,374,46,33,8,72,1,1,32,8,2,1,1,1712,2014,8,30,151.0,
FSU,106,31,370,40,25,8,71,0,2,23,14,4,1,0,1985,Oklahoma State,161,42,203,28,15,7,70,1,1,22,16,8,1,0,1615,2014,8,30,197.0,52.0
UC Davis,61,27,54,22,12,5,42,1,2,6,13,1,0,0,1698,Stanford,149,32,312,30,21,4,40,2,1,21,9,3,1,0,1896,2014,8,30,24.0,
Colgate,90,28,137,26,14,4,58,0,0,9,13,2,2,1,1419,Ball State,311,53,203,32,20,5,40,0,1,29,16,8,0,0,2181,2014,8,30,2050.0,
North Texas,79,43,15,17,3,6,56,0,4,8,16,3,1,0,1632,Texas,163,40,190,34,19,7,65,2,0,18,15,4,1,1,1957,2014,8,30,251.0,249.0
Ga Southern,246,47,192,17,10,3,35,1,0,18,14,6,1,0,1947,North Carolina St,173,35,291,40,28,4,20,0,1,26,15,7,1,0,1653,2014,8,30,152.0,290.0
Fresno State,157,33,160,36,18,5,47,0,4,17,13,2,3,2,1245,USC,277,64,424,41,28,9,76,2,0,37,18,11,5,3,2324,2014,8,30,30.0,278.0
Rice,141,40,226,26,15,5,30,1,1,16,15,6,1,0,1791,Notre Dame,281,42,295,22,14,2,10,0,0,23,13,6,0,0,1809,2014,8,30,87.0,242.0
Wofford,271,47,55,13,7,5,46,0,0,16,13,5,2,1,1886,Georgia Tech,226,43,282,16,11,5,50,0,0,21,10,5,2,2,1673,2014,8,30,59.0,
Hampton,9,26,407,46,32,7,71,3,1,20,16,9,1,1,1813,Old Dominion,188,36,281,40,29,4,29,0,2,31,14,10,2,1,1787,2014,8,30,295.0,
West Virginia,28,24,365,45,29,6,55,0,0,22,14,5,1,0,1333,Alabama,288,49,250,33,24,7,49,0,1,30,16,9,1,0,2267,2014,8,30,333.0,277.0
UT Martin,183,47,215,34,23,7,51,3,2,25,14,4,5,5,2178,Kentucky,234,28,422,33,22,6,59,0,0,23,14,8,2,1,1422,2014,8,30,96.0,
Northern Iowa,25,25,380,37,17,16,128,0,2,13,16,6,1,0,1606,Iowa,151,36,250,41,31,4,35,1,0,26,14,7,1,0,1994,2014,8,30,2294.0,
North Dakota St,302,44,204,28,18,8,64,0,0,22,15,9,0,0,2147,Iowa State,102,26,151,31,20,5,31,0,2,16,13,6,1,0,1453,2014,8,30,66.0,2449.0
N Arizona,124,36,188,28,15,4,50,0,1,14,15,5,1,0,1805,San Diego State,194,37,205,29,18,5,29,0,1,25,12,6,0,0,1795,2014,8,30,21.0,
Montana,42,19,211,46,25,3,25,0,0,16,17,6,2,1,1506,Wyoming,209,46,92,21,13,1,4,1,1,18,16,7,1,0,2094,2014,8,30,2751.0,
W Michigan,213,32,243,41,23,5,35,0,1,24,14,5,2,0,1856,Purdue,226,39,181,38,19,7,52,0,0,22,17,7,2,1,1744,2014,8,30,2509.0,2711.0
Southern Utah,156,22,224,42,25,3,20,1,1,16,14,3,0,0,1142,Nevada,244,55,303,41,30,4,19,1,1,30,22,14,0,0,3325,2014,8,30,2440.0,
Duquesne,51,33,322,37,18,3,45,1,0,18,16,6,2,2,1519,Buffalo,174,49,298,36,25,3,31,1,1,26,20,11,2,2,2736,2014,8,30,2084.0,
Cal,114,45,300,39,23,6,59,0,2,23,17,8,3,2,1894,Northwestern,108,36,246,45,24,1,0,0,2,22,20,8,4,2,1706,2014,8,30,77.0,25.0
LA Tech,54,29,191,36,22,5,32,0,1,15,15,5,1,1,1862,Oklahoma,183,40,253,34,19,3,34,1,1,26,13,5,4,4,1734,2014,8,30,201.0,2348.0
Portland State,131,24,83,27,10,3,30,3,2,15,9,0,1,1,1234,Oregon State,176,37,328,45,26,13,119,1,0,25,14,3,1,1,2366,2014,8,30,204.0,
AR-Pine Bluff,127,39,88,21,9,8,37,2,0,14,16,5,0,0,1949,Texas State,378,50,319,30,25,8,90,1,0,39,7,5,0,0,1642,2014,8,30,326.0,
Wisconsin,268,39,50,24,8,3,26,0,2,14,15,4,1,1,1694,LSU,126,47,239,21,9,7,50,1,0,17,17,6,1,1,1906,2014,8,30,99.0,275.0
Montana State,86,44,142,26,14,7,44,0,2,10,18,2,2,2,1965,Arkansas State,283,49,264,30,20,4,25,2,0,23,16,7,2,0,2085,2014,8,30,2032.0,
JMU,161,44,141,37,16,9,102,1,2,16,19,4,4,3,1570,Maryland,285,50,186,35,18,5,35,0,1,30,18,9,2,2,2030,2014,8,30,120.0,
South Dakota St,119,32,246,32,23,5,25,1,2,15,15,5,0,0,2124,Missouri,215,39,178,21,13,5,27,0,0,19,11,3,2,2,1476,2014,8,30,142.0,
Samford,87,47,56,20,10,3,35,1,1,9,20,6,1,0,1665,TCU,200,46,355,50,33,4,45,1,1,33,16,7,2,2,2758,2014,8,30,2628.0,
Clemson,88,43,203,33,18,3,40,0,1,15,21,7,2,2,1774,Georgia,328,41,131,26,18,8,65,1,0,22,13,5,1,1,1788,2014,8,30,61.0,228.0
Boston College,338,61,173,25,17,7,55,0,1,27,17,9,3,2,2531,UMass,55,22,147,22,9,4,23,0,1,9,11,3,1,0,1069,2014,8,30,113.0,103.0
Marshall,171,36,261,32,20,9,98,1,0,20,12,4,3,1,1495,Miami (OH),100,36,318,49,24,12,107,0,1,22,19,5,5,1,2086,2014,8,30,193.0,276.0
Southern Miss,71,33,212,42,20,6,37,1,2,15,18,4,1,0,1911,Miss St,201,44,349,34,23,3,30,1,1,29,15,7,2,0,1689,2014,8,30,344.0,2572.0
Morgan State,210,41,269,28,18,9,80,1,0,20,16,10,0,0,1857,E Michigan,292,56,99,30,18,4,30,0,0,30,19,11,2,2,1743,2014,8,30,2199.0,
Delaware,26,30,31,16,9,7,40,0,3,5,11,1,1,0,1556,Pitt,409,56,92,14,11,5,45,1,0,28,9,7,0,0,2044,2014,8,30,221.0,
UNH,37,31,338,45,31,6,33,0,1,24,17,10,1,0,1865,Toledo,306,45,360,35,25,3,37,0,0,34,13,9,0,0,1735,2014,8,30,2649.0,
Nicholls State,63,30,200,31,18,6,29,0,0,18,12,3,0,0,1732,Air Force,539,73,19,6,3,9,109,0,0,27,12,6,3,2,1868,2014,8,30,2005.0,
FAU,105,30,95,30,11,3,22,0,0,13,15,4,1,0,1542,Nebraska,498,57,286,35,17,6,60,0,0,35,12,8,0,0,2035,2014,8,30,158.0,2226.0
Youngstown St,203,59,177,24,11,5,25,0,0,19,20,5,3,2,2401,Illinois,78,22,285,38,24,7,55,1,0,14,15,8,0,0,1199,2014,8,30,356.0,
Ohio,175,44,262,24,18,1,5,4,0,20,14,7,2,2,1780,Kent State,31,22,264,41,30,8,44,0,0,17,14,6,0,0,1820,2014,8,30,2309.0,195.0
Arkansas,153,29,175,31,18,4,40,0,1,20,11,2,1,0,1637,Auburn,302,48,293,22,16,7,71,1,0,27,14,9,0,0,1963,2014,8,30,2.0,8.0
South Dakota,172,39,198,34,18,5,35,1,0,19,17,7,2,0,2344,Oregon,293,38,380,32,25,9,64,1,0,32,9,7,0,0,1256,2014,8,30,2483.0,
SMU,-24,25,91,40,21,4,40,2,1,7,18,4,4,0,2358,Baylor,261,50,313,47,27,11,96,1,1,31,20,10,2,2,1806,2014,8,31,239.0,2567.0
Utah State,100,24,144,35,18,5,42,1,2,11,14,3,1,0,1491,Tennessee,110,39,273,40,28,6,40,0,0,24,18,8,0,0,2069,2014,8,31,2633.0,328.0
Miami (FL),70,27,174,29,17,7,46,1,2,12,13,1,2,1,1603,Louisville,130,43,206,28,20,7,57,2,0,21,15,7,2,2,1983,2014,9,1,97.0,2390.0
Arizona,223,44,231,32,17,8,73,0,0,22,15,4,1,0,1616,UTSA,121,39,228,33,22,6,53,0,1,23,12,3,1,1,1984,2014,9,4,2636.0,12.0
Washington St,38,18,389,57,38,10,72,0,2,25,15,5,2,0,1628,Nevada,214,56,110,21,12,9,90,0,0,17,18,6,3,1,1972,2014,9,5,2440.0,265.0
Pitt,303,51,111,20,10,6,55,0,1,22,15,6,0,0,2005,Boston College,142,34,134,28,10,3,25,0,2,15,14,4,1,1,1595,2014,9,5,103.0,221.0
New Mexico St,194,41,241,44,25,5,38,2,1,26,18,7,4,3,1834,Georgia State,162,39,294,37,21,7,59,2,2,23,12,4,1,1,1766,2014,9,6,2247.0,166.0
UAB,113,43,435,34,16,5,27,0,1,19,16,3,2,0,1594,Miss St,292,57,224,31,14,3,32,0,1,26,16,5,3,2,1944,2014,9,6,344.0,5.0
Idaho,118,36,324,47,26,12,119,1,2,25,18,9,0,0,1929,UL Monroe,150,37,384,45,24,5,40,0,1,29,11,2,2,0,1665,2014,9,6,2433.0,70.0
Navy,487,63,30,8,4,1,15,3,0,27,10,6,1,0,2165,Temple,156,34,240,50,29,6,56,1,1,24,18,6,5,4,1435,2014,9,6,218.0,2426.0
N Colorado,138,40,189,21,16,7,46,0,1,19,12,2,0,0,1988,UNLV,211,48,121,20,11,6,75,0,4,19,12,6,1,0,1596,2014,9,6,2439.0,
Kansas State,232,41,239,29,16,10,77,0,0,24,14,6,1,0,1806,Iowa State,105,37,214,33,22,5,55,0,1,21,13,4,3,1,1794,2014,9,6,66.0,2306.0
E Michigan,80,34,45,21,9,4,40,4,1,7,14,3,0,0,2179,Florida,259,39,396,47,33,10,100,0,0,27,20,10,4,2,2143,2014,9,6,57.0,2199.0
SMU,10,14,266,45,24,7,60,3,2,16,11,1,3,1,1605,North Texas,245,55,108,17,12,15,139,0,0,17,16,6,0,0,2198,2014,9,6,249.0,2567.0
Towson,42,29,80,24,8,9,70,0,0,7,15,4,3,0,1469,West Virginia,251,52,355,44,38,3,35,1,0,33,17,12,2,1,2126,2014,9,6,277.0,
Wagner,92,36,120,23,11,8,80,0,2,9,11,1,0,0,1790,FIU,148,34,229,34,23,9,70,3,0,19,15,6,0,0,2363,2014,9,6,2229.0,
USC,156,37,135,22,15,10,87,0,0,16,14,7,1,0,1558,Stanford,128,38,285,30,22,8,68,2,0,21,14,7,1,0,2018,2014,9,6,24.0,30.0
Oregon State,164,36,300,37,26,13,99,1,1,22,15,5,0,0,2140,Hawaii,100,33,236,51,20,12,108,1,1,20,19,5,4,3,1460,2014,9,6,62.0,204.0
Florida A&M,25,33,89,17,6,4,39,2,0,5,15,2,1,1,1772,Miami (FL),198,33,218,30,17,4,40,1,2,21,10,2,3,2,1828,2014,9,6,2390.0,
Arkansas State,141,42,190,36,22,9,75,1,0,17,17,4,5,2,1931,Tennessee,168,45,247,38,22,2,14,0,1,23,18,9,0,0,1845,2014,9,6,2633.0,2032.0
Old Dominion,196,37,308,50,36,3,20,0,1,28,18,10,6,5,1836,North Carolina St,242,39,253,29,21,1,5,0,0,28,10,6,1,1,1740,2014,9,6,152.0,295.0
Northwestern St,78,41,124,19,8,5,35,0,1,11,15,2,1,1,1928,Baylor,265,50,455,28,19,10,91,2,0,32,16,13,2,2,1672,2014,9,6,239.0,
Oklahoma,261,31,319,38,24,5,60,0,0,26,14,7,0,0,1615,Tulsa,94,34,234,50,27,6,62,1,3,23,19,6,3,2,1945,2014,9,6,202.0,201.0
Grambling St,63,39,175,27,13,15,147,3,3,11,15,3,1,0,1836,Houston,275,40,202,26,15,5,30,2,0,20,14,4,1,0,2627,2014,9,6,248.0,
E Kentucky,82,32,198,28,14,8,94,1,1,12,13,1,1,0,1282,Miami (OH),60,38,359,52,25,9,61,3,3,25,19,6,2,1,3014,2014,9,6,193.0,
San Jose State,65,45,254,32,19,7,66,0,3,20,19,7,3,2,2089,Auburn,358,50,135,23,13,5,45,2,0,26,14,10,1,1,1511,2014,9,6,2.0,23.0
S Carolina St,7,28,37,25,12,5,30,0,1,5,15,2,1,0,1564,Clemson,268,51,467,42,32,1,5,1,0,32,17,10,2,1,2027,2014,9,6,228.0,
Missouri State,155,41,219,24,16,7,70,0,0,20,14,4,1,1,2003,Oklahoma State,206,35,274,35,21,5,45,0,0,22,15,5,2,1,1597,2014,9,6,197.0,
LA Tech,238,35,295,33,22,5,35,0,0,20,15,6,2,1,1754,LA-Lafayette,178,34,237,44,29,4,36,2,1,20,17,8,4,2,1846,2014,9,6,309.0,2348.0
W Illinois,54,30,108,21,13,5,36,1,1,11,11,4,0,0,1480,Wisconsin,167,39,289,29,24,4,38,0,1,25,12,6,3,2,2116,2014,9,6,275.0,
Georgia Tech,344,57,15,8,3,4,35,2,1,24,12,10,0,0,1955,Tulane,96,25,231,35,17,10,69,0,3,17,11,5,2,0,1615,2014,9,6,2655.0,59.0
Lamar,90,38,153,42,16,5,50,1,1,15,19,4,4,3,2057,Texas A&M,225,36,405,42,29,4,45,2,1,30,14,9,1,1,1543,2014,9,6,245.0,
Fresno State,55,40,283,40,24,6,55,1,0,24,16,5,2,0,1736,Utah,258,54,268,27,15,12,118,0,0,26,17,8,2,1,1825,2014,9,6,254.0,278.0
Buffalo,153,29,401,51,35,7,64,0,3,33,9,3,3,1,1771,Army,341,54,125,7,7,12,105,2,0,17,11,5,3,3,1770,2014,9,6,349.0,2084.0
VT,125,41,199,36,23,10,107,1,2,21,17,9,0,0,1999,OSU,108,40,219,29,9,7,62,0,3,19,16,4,1,1,1565,2014,9,6,194.0,259.0
Gardner-Webb,77,32,54,16,9,2,10,0,1,11,12,2,0,0,1623,Wake Forest,96,36,291,39,30,7,71,0,3,24,15,7,1,1,1975,2014,9,6,154.0,
Alcorn State,295,32,98,27,15,6,74,2,2,16,12,3,2,1,1601,Southern Miss,207,42,208,33,21,4,40,0,0,22,17,6,1,0,1999,2014,9,6,2572.0,
E Washington,98,36,475,46,31,6,51,2,0,36,12,6,4,4,1942,Washington,356,57,180,24,14,10,100,0,0,26,15,8,2,2,1658,2014,9,6,264.0,
The Citadel,250,56,72,14,5,0,0,0,0,21,17,11,2,0,2015,FSU,210,35,284,32,25,3,20,0,0,28,8,4,0,0,1585,2014,9,6,52.0,
Sam Houston,50,36,156,28,9,2,30,1,2,14,14,3,2,0,1497,LSU,334,58,250,18,11,6,60,1,0,27,12,8,0,0,2103,2014,9,6,99.0,
Idaho State,101,32,307,47,23,11,109,1,3,21,16,3,0,0,1671,Utah State,311,45,116,30,13,14,160,1,1,21,14,4,0,0,2139,2014,9,6,328.0,304.0
Colorado State,28,23,434,58,31,2,20,1,2,23,18,8,2,1,1718,Boise State,324,56,352,33,22,10,101,0,1,35,14,7,1,0,1882,2014,9,6,68.0,36.0
Ohio,74,28,149,32,14,5,46,1,0,13,14,4,1,0,1289,Kentucky,232,52,170,31,17,4,45,0,0,24,20,9,2,1,2306,2014,9,6,96.0,195.0
Nicholls State,34,28,208,43,21,5,35,0,1,17,17,3,3,2,2050,Arkansas,495,40,189,14,8,7,69,0,1,26,6,3,1,1,1551,2014,9,6,8.0,
Cent Michigan,161,43,172,16,11,1,5,0,1,19,13,6,0,0,1837,Purdue,122,34,204,49,24,7,69,1,2,19,21,9,5,2,1758,2014,9,6,2509.0,2117.0
Colorado,156,47,318,42,26,12,123,0,1,29,18,10,1,0,2115,UMass,105,30,267,38,20,7,85,0,1,24,15,5,1,0,1485,2014,9,6,113.0,38.0
FAU,57,24,88,19,12,3,23,1,0,9,10,2,1,0,1417,Alabama,190,32,430,38,27,6,60,1,0,27,12,6,1,1,1710,2014,9,6,333.0,2226.0
Savannah State,87,34,208,39,21,7,34,2,1,18,17,7,1,0,2045,Ga Southern,564,53,120,5,4,3,15,0,0,27,6,6,0,0,1555,2014,9,6,290.0,
Murray State,41,19,251,38,21,6,65,0,1,14,12,4,2,0,1071,Louisville,325,49,278,39,25,3,19,0,0,31,19,11,5,4,2529,2014,9,6,97.0,
Michigan,100,35,189,32,19,5,50,1,3,18,13,4,2,1,1984,Notre Dame,54,31,226,34,23,3,20,0,0,20,15,7,1,1,1616,2014,9,6,87.0,130.0
W Kentucky,103,30,297,48,28,5,24,2,1,23,16,7,2,1,1494,Illinois,64,35,456,50,35,9,69,2,1,29,13,10,1,0,2106,2014,9,6,356.0,98.0
ECU,132,21,321,46,32,4,40,0,2,27,12,6,1,1,1421,South Carolina,175,38,266,38,25,5,60,0,1,26,13,7,1,1,2179,2014,9,6,2579.0,151.0
South Alabama,186,50,161,25,15,6,30,0,0,20,17,6,0,0,1891,Kent State,64,28,213,40,17,6,45,0,1,15,18,9,0,0,1686,2014,9,6,2309.0,6.0
SE Missouri St,124,36,297,28,13,14,174,0,3,14,16,5,3,3,1800,Kansas,261,49,196,24,12,9,80,0,0,20,15,5,1,0,1799,2014,9,6,2305.0,
Air Force,151,52,226,32,17,4,25,2,0,21,21,10,2,0,1881,Wyoming,51,26,282,37,23,2,15,0,0,15,14,4,1,0,1719,2014,9,6,2751.0,2005.0
Akron,69,25,208,46,24,7,64,0,0,17,17,5,2,0,1761,Penn State,106,31,319,37,22,3,25,1,2,27,10,4,0,0,1839,2014,9,6,213.0,2006.0
URI,64,39,111,28,17,6,38,1,1,11,17,4,2,1,1998,Marshall,432,46,292,35,18,8,64,3,0,29,13,7,2,0,1664,2014,9,6,276.0,
McNeese State,178,45,160,26,12,6,44,0,1,15,17,5,2,2,2092,Nebraska,195,33,242,31,16,5,40,0,1,17,13,4,2,1,1484,2014,9,6,158.0,
Sacramento St,118,25,184,41,20,9,98,1,1,19,15,6,0,0,1668,Cal,255,48,326,29,21,10,102,1,0,26,16,9,2,2,2657,2014,9,6,25.0,
Ole Miss,180,50,367,38,28,5,35,1,0,34,15,10,2,1,2246,Vanderbilt,107,25,60,25,6,7,53,0,1,9,13,4,1,0,1354,2014,9,6,238.0,145.0
Maryland,116,40,201,28,17,4,35,4,2,17,14,8,0,0,1627,USF,83,37,174,37,15,6,39,0,1,16,21,9,2,0,1973,2014,9,6,58.0,120.0
N Illinois,221,55,180,23,13,8,75,0,0,20,18,7,1,1,1712,Northwestern,72,37,322,43,28,9,93,0,1,21,23,14,1,0,1888,2014,9,6,77.0,2459.0
Stony Brook,104,37,196,29,12,12,108,0,0,9,18,3,3,1,1942,UConn,81,37,142,27,12,3,25,2,0,15,16,4,0,0,1658,2014,9,6,41.0,
Campbell,56,30,39,23,9,7,63,1,3,6,14,2,1,0,1809,Appalachian St,293,47,245,29,16,7,91,0,1,24,16,10,3,2,1782,2014,9,6,2026.0,
Ball State,90,36,129,30,15,6,45,1,0,13,16,4,0,0,1733,Iowa,113,29,342,55,35,3,30,2,0,27,19,10,0,0,1867,2014,9,6,2294.0,2050.0
VMI,97,35,321,55,30,4,35,2,1,24,20,6,1,0,2347,Bowling Green,260,37,266,34,25,7,87,1,1,26,13,7,0,0,1253,2014,9,6,189.0,
Arizona State,423,48,198,21,12,4,30,1,0,25,13,7,1,0,1511,New Mexico,207,57,130,11,7,8,73,3,0,19,14,5,1,0,2070,2014,9,6,167.0,9.0
Missouri,177,47,325,33,21,2,25,0,2,25,17,9,0,0,2019,Toledo,154,32,256,44,23,9,60,1,1,18,18,6,0,0,2392,2014,9,6,2649.0,142.0
Texas Tech,226,28,278,31,17,10,90,1,0,19,11,4,1,0,1260,UTEP,268,52,116,26,9,5,40,0,0,23,16,6,1,0,2323,2014,9,6,2638.0,2641.0
Howard,259,43,168,29,14,11,90,1,1,21,14,6,1,0,1816,Rutgers,109,38,288,22,16,3,41,1,0,20,10,3,1,0,1768,2014,9,6,164.0,
Memphis,164,39,305,42,27,10,110,0,0,24,16,6,1,1,1789,UCLA,144,41,396,44,33,9,85,0,1,30,16,8,1,1,1771,2014,9,6,26.0,235.0
Richmond,59,31,363,47,29,4,25,4,3,21,16,8,1,1,1950,UVA,157,40,173,23,18,6,39,1,1,17,12,7,0,0,2054,2014,9,6,258.0,257.0
BYU,248,60,181,28,18,6,40,1,1,28,15,6,2,1,2047,Texas,82,35,176,31,20,6,64,3,1,15,15,3,2,1,1521,2014,9,6,251.0,252.0
Michigan State,123,36,343,47,29,5,38,0,2,25,17,7,1,0,2020,Oregon,173,40,318,28,17,9,70,0,0,19,16,6,2,2,1580,2014,9,6,2483.0,127.0
