Visiter,VisRushY,VisRushA,VisPassY,VisPassA,VisPassC,VisPnl,VisPnlY,VisFmb,VisInt,VisFrstD,VisThrdDA,VisThrdDC,VisFrthDA,VisFrthDC,VisTm,Home,HomeRushY,HomeRushA,HomePassY,HomePassA,HomePassC,HomePnl,HomePnlY,HomeFmb,HomeInt,HomeFrstD,HomeThrdDA,HomeThrdDC,HomeFrthDA,HomeFrthDC,HomeTm,Year,Month,Day,HomeID,VisID
Wagner,86,37,199,22,10,4,50,1,1,13,12,2,0,0,1746,Rice,401,54,142,21,12,4,49,1,1,28,15,11,0,0,1854,2015,9,5,242,
Portland State,233,48,61,12,7,5,61,0,0,19,12,6,1,1,1788,Washington St,104,30,307,45,28,5,32,1,1,21,16,4,8,7,1812,2015,9,5,265,
Southern,94,32,187,36,19,9,45,1,2,17,15,4,1,0,1676,LA Tech,207,32,380,29,21,3,35,0,2,21,10,3,1,1,1709,2015,9,5,2348,2582.0
UTEP,58,34,146,19,14,2,15,2,1,13,14,7,2,0,1841,Arkansas,182,34,308,20,14,6,68,0,0,18,11,5,2,2,1759,2015,9,5,8,2638.0
Weber State,58,18,120,36,19,7,75,0,1,9,13,0,1,0,1475,Oregon State,281,56,110,22,12,7,67,0,1,22,17,6,1,0,2125,2015,9,5,204,
Wofford,123,45,90,18,6,4,46,0,0,9,16,4,1,0,1877,Clemson,222,43,311,37,30,6,55,2,0,27,15,9,2,2,1723,2015,9,5,228,
Jackson State,5,20,271,40,23,7,58,0,1,9,16,4,0,0,1477,Mid Tennessee,242,62,363,33,26,1,15,1,1,36,16,12,0,0,2123,2015,9,5,2393,
Gardner-Webb,177,53,132,23,11,4,39,1,2,17,16,5,4,2,2333,South Alabama,224,31,184,25,14,7,55,1,2,13,10,3,1,1,1267,2015,9,5,6,
UVA,98,34,238,35,21,7,45,0,1,19,14,4,2,1,2054,UCLA,152,34,351,37,28,7,75,0,0,25,13,7,0,0,1546,2015,9,5,26,258.0
Sam Houston,317,46,320,52,36,5,47,2,2,34,15,9,1,0,1919,Texas Tech,174,31,437,57,34,10,69,0,1,29,16,9,1,0,1681,2015,9,5,2641,
Louisville,238,48,167,33,17,5,35,1,1,27,16,8,3,3,1850,Auburn,190,41,137,21,11,8,80,0,3,21,10,4,1,0,1750,2015,9,5,2,97.0
Grambling St,127,33,170,30,11,8,61,1,4,11,15,3,1,0,1558,Cal,185,39,471,49,34,3,36,1,2,31,12,6,2,2,2094,2015,9,5,25,
Northern Iowa,126,41,176,34,20,10,74,1,1,16,16,3,1,0,1990,Iowa State,77,32,233,29,21,5,48,2,0,15,13,3,0,0,1610,2015,9,6,66,
Miss St,205,28,237,38,22,6,60,2,0,19,14,8,0,0,1335,Southern Miss,102,36,311,44,30,8,64,0,2,20,17,4,4,2,2265,2015,9,6,2572,344.0
Arkansas State,208,50,193,37,17,8,88,2,2,19,19,6,4,0,2131,USC,185,32,324,32,23,3,25,0,0,22,10,3,1,0,1469,2015,9,6,30,2032.0
Texas State,132,33,168,42,26,1,5,1,0,17,17,4,5,3,1679,FSU,266,41,370,32,25,5,35,1,0,30,12,8,0,0,1921,2015,9,6,52,326.0
Alabama A&M,98,37,148,26,10,8,68,0,1,14,13,1,2,1,1599,Cincinnati,296,51,340,38,26,8,79,2,0,34,15,11,0,0,2001,2015,9,6,2132,
Wisconsin,40,21,228,39,26,5,50,0,1,17,14,6,0,0,1735,Alabama,238,37,264,29,22,11,120,0,0,27,11,4,1,1,1865,2015,9,6,333,275.0
San Diego,79,38,109,27,13,4,30,1,5,13,16,4,0,0,2079,San Diego State,166,36,139,23,11,8,58,0,1,15,14,6,0,0,1521,2015,9,6,21,
Purdue,184,47,270,48,31,4,53,0,4,28,22,10,2,2,2087,Marshall,163,29,234,36,23,6,57,2,1,20,12,4,0,0,1513,2015,9,6,276,2509.0
Tennessee Tech,29,33,312,26,16,3,15,0,1,10,15,5,0,0,1746,Houston,266,45,355,37,27,9,53,1,0,27,13,4,4,3,1854,2015,9,6,248,
Mississippi Valley State,26,40,48,16,6,9,50,2,1,8,14,4,1,1,1960,New Mexico,339,52,172,19,12,6,55,0,0,26,10,5,3,2,1640,2015,9,6,167,
E Washington,111,31,438,55,37,11,78,0,2,31,14,6,4,3,1993,Oregon,485,57,246,25,19,8,70,1,0,34,10,5,4,3,1607,2015,9,6,2483,
LA Tech,223,31,357,49,28,5,40,1,1,28,14,6,3,1,1814,W Kentucky,144,34,441,38,28,10,105,1,0,24,13,4,1,1,1786,2015,9,11,98,2348.0
Monmouth,67,31,114,33,19,3,16,0,1,15,15,4,4,3,1605,Cent Michigan,84,34,328,36,25,7,75,0,1,22,17,12,0,0,1979,2015,9,12,2117,
Memphis,281,52,370,27,24,7,58,3,0,34,9,5,0,0,1706,Kansas,194,46,165,38,18,7,68,0,0,23,20,8,1,0,1894,2015,9,12,2305,235.0
San Diego State,152,43,173,32,14,12,136,0,2,16,20,9,0,0,2050,Cal,164,36,321,25,17,5,50,0,1,24,10,2,1,1,1550,2015,9,12,25,21.0
Oklahoma,161,48,187,39,19,9,67,0,2,20,20,9,2,1,1960,Tennessee,129,45,125,31,13,10,80,0,1,19,18,6,0,0,1640,2015,9,12,2633,201.0
Appalachian St,202,45,95,28,9,12,90,1,3,12,16,3,3,1,1824,Clemson,140,44,252,31,21,9,75,0,2,22,15,5,1,1,1776,2015,9,12,228,2026.0
Army,180,33,85,8,3,6,60,0,1,9,8,2,1,0,1260,UConn,145,46,270,25,19,7,50,1,0,23,15,7,0,0,2340,2015,9,12,41,349.0
Toledo,81,24,237,38,21,8,55,0,0,15,17,7,3,2,1325,Arkansas,103,31,412,53,32,9,85,0,1,30,13,5,3,1,2275,2015,9,12,8,2649.0
Mid Tennessee,86,31,189,43,23,8,67,3,1,15,19,6,1,1,1624,Alabama,220,39,312,43,26,5,40,0,2,28,13,4,3,2,1976,2015,9,12,333,2393.0
Hawaii,80,35,85,26,8,6,36,2,2,12,14,2,2,1,1468,OSU,182,49,181,34,20,7,55,0,0,26,17,8,3,1,2132,2015,9,12,194,62.0
Minnesota,180,41,233,45,23,8,60,2,0,23,19,6,2,1,1792,Colorado State,172,41,142,32,16,10,86,2,2,14,19,7,1,1,1808,2015,9,12,36,135.0
Tulane,71,33,177,33,15,4,34,1,1,18,15,6,2,0,1565,Georgia Tech,439,56,132,10,8,2,24,1,0,28,9,6,2,2,2035,2015,9,12,59,2655.0
W Michigan,25,26,227,36,24,6,37,1,3,19,12,5,2,0,1811,Ga Southern,413,52,7,4,1,4,35,0,0,14,12,5,3,0,1789,2015,9,12,290,2711.0
Ball State,240,38,121,27,12,3,15,0,1,19,13,2,1,1,1721,Texas A&M,270,49,233,29,21,7,79,1,0,25,14,9,2,1,1879,2015,9,12,245,2050.0
Cent Arkansas,92,39,128,25,14,7,58,0,0,12,15,2,3,2,1770,Oklahoma State,164,35,414,39,25,8,65,0,1,25,16,7,1,1,1830,2015,9,12,197,
Murray State,92,35,281,49,31,5,55,0,3,22,20,8,1,1,1986,N Illinois,254,43,389,41,31,5,58,2,0,30,13,5,1,1,1614,2015,9,12,2459,
Houston,226,57,236,35,23,7,78,0,1,25,22,11,3,2,1995,Louisville,70,26,325,45,27,9,80,2,2,24,11,5,0,0,1605,2015,9,12,97,248.0
Oregon State,59,33,79,20,9,8,62,1,0,12,11,1,2,0,1319,Michigan,225,48,180,26,18,10,105,1,1,21,13,6,1,1,2281,2015,9,12,130,204.0
Furman,136,41,118,26,9,6,50,1,2,17,15,3,3,2,1838,VT,299,41,284,31,19,11,114,0,0,25,12,4,2,2,1762,2015,9,12,259,
Delaware State,-38,28,5,10,3,6,47,2,1,1,10,0,1,0,1133,Kent State,278,65,214,26,18,12,114,3,0,25,16,4,7,4,2467,2015,9,12,2309,
NC Central,54,27,132,29,13,9,45,0,0,9,14,1,0,0,1549,Duke,288,59,367,26,19,3,34,0,0,30,16,10,0,0,2051,2015,9,12,150,
Jacksonville St,161,46,277,43,26,5,36,0,1,28,17,8,2,1,2125,Auburn,165,38,236,32,21,3,40,1,2,23,12,7,0,0,1417,2015,9,12,2,
Utah State,117,32,256,35,22,6,61,1,2,21,15,8,0,0,1568,Utah,195,44,132,22,17,5,43,0,0,21,14,6,1,1,2032,2015,9,12,254,328.0
Washington St,81,16,478,66,47,6,55,0,0,28,13,3,4,1,1689,Rutgers,198,37,204,29,23,11,100,2,1,26,10,5,1,1,1911,2015,9,12,164,265.0
Norfolk State,103,23,163,36,16,3,37,1,0,14,13,4,3,1,1523,Old Dominion,338,59,122,22,12,6,51,0,1,24,15,6,3,2,2077,2015,9,12,295,
Liberty,92,28,280,33,21,4,26,0,0,17,12,3,1,0,1833,West Virginia,172,45,313,32,27,6,58,0,0,25,14,8,0,0,1767,2015,9,12,277,
Marshall,157,25,106,33,16,16,150,2,2,10,15,3,1,0,1504,Ohio,229,52,152,26,14,11,101,1,1,22,16,6,1,1,2096,2015,9,12,195,276.0
E Kentucky,35,23,77,21,7,8,53,0,0,7,12,2,1,0,1196,North Carolina St,199,48,244,30,21,7,56,1,0,25,13,7,3,2,2404,2015,9,12,152,
UTEP,227,46,187,31,19,8,80,2,0,18,18,6,2,1,2415,Texas Tech,229,30,445,42,23,4,38,0,0,29,11,5,1,1,1185,2015,9,12,2641,2638.0
Kentucky,207,38,192,29,21,7,74,0,1,19,14,4,2,2,1908,South Carolina,195,34,222,27,17,5,50,0,1,22,10,2,1,1,1692,2015,9,12,2579,96.0
Austin Peay,96,48,93,18,11,4,38,0,1,12,16,2,3,2,2228,Southern Miss,239,30,275,40,22,6,70,0,1,24,14,7,0,0,1372,2015,9,12,2572,
North Carolina A&T,155,41,118,22,9,2,10,1,2,18,15,7,1,0,1778,UNC,215,44,248,27,20,5,50,0,0,24,13,8,1,1,1822,2015,9,12,153,
Northwestern St,234,55,135,16,9,5,44,0,0,21,17,8,5,2,2079,LA-Lafayette,360,42,187,9,7,5,35,0,0,21,9,6,0,0,1521,2015,9,12,309,
Nicholls State,159,44,101,19,10,10,102,2,0,15,15,3,1,0,1741,UL Monroe,202,38,391,38,28,18,158,0,0,27,16,9,1,1,1859,2015,9,12,2433,
Fresno State,163,52,153,24,15,6,45,1,3,17,15,5,3,0,2082,Ole Miss,215,35,392,37,26,5,58,2,1,27,14,9,1,1,1518,2015,9,12,145,278.0
Notre Dame,253,34,207,30,15,4,40,0,0,20,10,0,3,2,1597,UVA,127,30,289,38,26,9,55,1,0,22,15,6,1,1,2003,2015,9,12,258,87.0
ECU,-13,22,346,58,37,9,65,2,1,20,21,10,0,0,1733,Florida,168,38,205,25,15,12,105,1,1,17,13,4,1,1,1867,2015,9,12,57,151.0
Bowling Green,201,50,491,55,36,10,80,0,1,35,18,8,4,2,2277,Maryland,156,26,185,33,16,6,57,1,3,16,13,3,1,0,1323,2015,9,12,120,189.0
Presbyterian,103,41,9,17,3,6,39,0,1,8,13,1,0,0,1720,Charlotte,192,46,283,29,20,6,57,1,0,23,16,8,0,0,1880,2015,9,12,2429,
Missouri,134,33,148,37,16,9,75,0,3,19,15,5,0,0,1680,Arkansas State,93,45,124,30,14,7,80,0,3,18,17,6,1,1,1920,2015,9,12,2032,142.0
Arizona,290,43,281,35,25,3,30,1,0,25,13,3,3,1,1662,Nevada,168,42,160,34,18,9,105,0,1,15,18,6,1,0,1938,2015,9,12,2440,12.0
Lamar,173,43,167,30,18,15,117,1,1,19,13,4,0,0,1985,Baylor,412,56,373,38,26,12,93,1,3,38,11,3,4,3,1615,2015,9,12,239,
Indiana State,168,41,194,37,18,8,63,1,2,19,16,3,4,2,1832,Purdue,251,45,289,36,20,5,42,2,0,24,15,5,2,1,1645,2015,9,12,2509,
SF Austin,146,29,21,28,13,2,25,1,2,8,16,2,2,0,1627,TCU,224,45,403,37,26,3,43,0,1,30,14,11,0,0,1973,2015,9,12,2628,
Charleston So,263,60,111,28,10,10,85,1,0,22,21,8,4,2,2398,Troy,125,28,249,28,19,7,62,0,0,18,11,4,1,0,1202,2015,9,12,2653,
Pitt,128,47,180,25,18,5,30,0,0,23,16,7,1,0,2248,Akron,42,24,63,22,7,9,85,1,0,8,11,2,0,0,1352,2015,9,12,2006,221.0
Georgia,281,41,141,25,13,10,92,1,0,19,13,4,0,0,1623,Vanderbilt,105,39,295,50,24,4,20,0,3,21,21,7,4,3,1977,2015,9,12,238,61.0
USF,149,36,125,24,12,2,21,0,1,11,13,1,1,1,1597,FSU,278,46,163,26,14,7,50,0,0,21,13,3,1,1,2003,2015,9,12,52,58.0
Sacramento St,11,26,201,38,20,8,75,0,1,11,18,6,1,0,2031,Washington,218,36,326,25,17,3,30,1,0,23,11,3,4,2,1569,2015,9,12,264,
North Texas,112,33,128,34,16,7,73,2,2,17,16,6,1,1,1450,SMU,273,53,171,24,17,6,50,3,0,27,15,9,2,0,2150,2015,9,12,2567,249.0
Prairie View A&M,79,37,323,45,29,6,70,2,0,25,16,6,3,1,1990,Texas State,316,50,333,22,18,9,113,2,0,29,11,6,1,1,1610,2015,9,12,326,
E Michigan,176,37,330,25,18,4,45,0,0,19,12,7,0,0,1604,Wyoming,430,58,32,17,6,4,30,1,0,26,15,6,4,3,1996,2015,9,12,2751,2199.0
Iowa,260,45,215,25,15,6,50,1,0,22,14,7,1,1,2002,Iowa State,63,27,247,35,19,4,45,0,1,18,14,4,1,0,1598,2015,9,12,66,2294.0
Wake Forest,46,32,373,45,30,6,52,0,3,23,16,7,1,1,2055,Syracuse,149,37,221,14,8,4,30,0,0,15,9,1,0,0,1545,2015,9,12,183,154.0
Kansas State,175,44,243,23,12,9,85,0,0,22,14,7,0,0,2105,UTSA,37,25,192,37,23,12,92,0,0,14,14,3,2,0,1495,2015,9,12,2636,2306.0
Miami (FL),226,44,300,34,22,8,64,0,0,27,13,3,3,3,2112,FAU,223,33,166,34,19,8,71,3,2,22,14,7,1,1,1488,2015,9,12,2226,2390.0
W Illinois,98,30,43,24,11,4,37,0,2,5,15,1,2,0,1295,Illinois,147,40,353,54,38,3,25,3,1,27,18,9,3,3,2305,2015,9,12,356,
Miami (OH),-3,24,160,34,13,7,72,1,3,9,15,3,1,0,1391,Wisconsin,188,45,263,36,23,8,65,0,1,26,16,9,0,0,2209,2015,9,12,275,193.0
E Illinois,70,29,68,20,10,3,17,0,2,8,11,0,4,1,1375,Northwestern,344,69,152,16,11,3,26,1,0,28,17,10,2,0,2225,2015,9,12,77,
UMass,147,29,250,42,24,4,50,1,1,20,16,6,4,2,1443,Colorado,390,59,168,24,15,7,65,0,0,32,15,9,0,0,2157,2015,9,12,38,113.0
Buffalo,69,33,205,35,24,14,107,0,1,15,16,5,3,2,1826,Penn State,200,39,128,27,14,7,65,0,0,15,15,6,3,1,1774,2015,9,12,213,2084.0
Howard,7,28,4,12,2,8,65,1,1,2,12,0,0,0,1494,Boston College,347,40,136,15,12,6,40,0,0,24,7,5,0,0,1626,2015,9,12,103,
Rice,228,58,234,38,23,6,55,2,3,30,21,14,1,1,2642,Texas,149,28,128,10,5,4,42,1,0,11,8,3,0,0,958,2015,9,13,251,242.0
FIU,123,33,283,47,24,8,54,2,1,24,19,7,3,1,1610,Indiana,205,52,234,33,19,11,110,0,1,25,18,7,2,1,1990,2015,9,13,84,2229.0
Georgia State,210,46,372,43,32,9,75,2,1,28,16,8,0,0,2008,New Mexico St,84,23,445,55,31,7,45,0,1,26,16,6,2,0,1592,2015,9,13,166,2247.0
Temple,215,36,81,20,13,12,112,1,0,13,13,5,0,0,1894,Cincinnati,130,31,427,52,30,5,51,1,4,34,11,7,0,0,1706,2015,9,13,2132,218.0
LSU,266,47,71,14,9,9,95,0,0,16,13,4,0,0,1992,Miss St,43,26,335,54,34,5,45,0,0,27,15,3,1,1,1608,2015,9,13,344,99.0
Boise State,64,31,297,38,25,11,76,0,3,17,12,2,0,0,1731,BYU,72,39,309,29,17,5,54,0,2,16,18,8,1,1,1869,2015,9,13,252,68.0
Idaho,71,32,240,45,28,2,23,0,0,19,17,5,2,1,2064,USC,284,37,453,37,30,6,67,0,0,35,6,1,1,1,1536,2015,9,13,30,70.0
Oregon,123,43,309,39,22,9,56,0,2,26,13,4,6,2,1594,Michigan State,197,37,192,32,20,2,15,0,1,21,12,3,2,2,2006,2015,9,13,127,2483.0
Tulsa,279,59,321,30,16,7,56,1,0,31,18,9,1,0,1856,New Mexico,224,47,166,21,11,14,154,1,1,18,15,4,3,2,1744,2015,9,13,167,202.0
UCLA,283,46,245,51,24,9,82,0,3,31,19,8,3,1,1827,UNLV,181,43,56,23,6,8,85,1,1,11,15,2,3,0,1773,2015,9,13,2439,26.0
San Jose State,150,20,140,33,18,8,51,0,2,13,13,5,0,0,1435,Air Force,428,69,24,11,3,5,48,0,1,23,17,6,3,3,2165,2015,9,13,2005,23.0
Cal Poly,284,71,46,8,4,6,55,0,0,20,19,8,3,2,1942,Arizona State,248,45,283,35,23,3,45,1,1,28,15,7,2,1,1658,2015,9,13,9,
