Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2001-09-01, Alabama, 159, 46, 299, 25, 15, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 17, UCLA, 168, 38, 123, 22, 8, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 20
2001-09-01, LSU, 232, 50, 262, 31, 21, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 48, Tulane, 48, 26, 343, 47, 25, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 17
2001-09-01, Cal, 167, 40, 214, 35, 22, -999, -999, 3, 2, -999, -999, -999, -999, -999, -999, 17, Illinois, 76, 34, 297, 35, 18, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 44
2001-09-01, LA Tech, 56, 24, 189, 35, 22, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 36, SMU, 70, 32, 216, 54, 25, -999, -999, 2, 1, -999, -999, -999, -999, -999, -999, 6
2001-09-01, Oklahoma State, 45, 26, 294, 38, 26, -999, -999, 4, 0, -999, -999, -999, -999, -999, -999, 9, Southern Miss, 53, 39, 277, 37, 22, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 17
2001-09-01, Boston College, 325, 50, 146, 26, 11, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 34, West Virginia, 76, 40, 240, 40, 22, -999, -999, 2, 3, -999, -999, -999, -999, -999, -999, 10
2001-09-01, LA-Lafayette, 110, 43, 179, 27, 12, -999, -999, 3, 0, -999, -999, -999, -999, -999, -999, 20, Nicholls State, 57, 34, 0, 11, 0, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 0
2001-09-01, Auburn, 142, 37, 243, 33, 19, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 30, Ball State, 60, 34, 32, 17, 5, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 0
2001-09-01, BYU, 209, 38, 389, 40, 25, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 52, Nevada, 160, 36, 127, 28, 15, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 7
2001-09-01, Kentucky, 58, 28, 155, 37, 15, -999, -999, 2, 2, -999, -999, -999, -999, -999, -999, 10, Louisville, 118, 35, 368, 34, 21, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 36
2001-09-01, Boise State, 91, 26, 162, 32, 18, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 13, South Carolina, 172, 41, 220, 26, 18, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 32
2001-09-01, Arkansas State, 143, 41, 180, 32, 17, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 17, Georgia, 212, 39, 386, 38, 26, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 45
2001-09-01, Kansas, 102, 37, 231, 29, 19, -999, -999, 8, 2, -999, -999, -999, -999, -999, -999, 24, S W Missouri St, 58, 44, 185, 32, 15, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 10
2001-09-01, Miami (OH), 127, 29, 223, 44, 22, -999, -999, 0, 3, -999, -999, -999, -999, -999, -999, 13, Michigan, 189, 47, 214, 34, 20, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 31
2001-09-01, Ole Miss, 196, 41, 303, 31, 23, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 49, Murray State, 126, 30, 126, 30, 14, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 14
2001-09-01, UVA, 110, 43, 242, 37, 26, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 17, Richmond, 197, 39, 129, 19, 9, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 16
