Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2013,2013-09-07 17:30:00,0,WCU,VT,3,45,8,2,0,14,3,40,111,24,1,1,35,2,34,237
2013,2013-09-07 18:00:00,0,MAINE,UMASS,24,14,21,3,2,28,1,45,247,14,1,1,42,1,22,64
2013,2013-09-07 18:00:00,0,CHAT,GAST,42,14,25,1,0,15,0,60,401,13,0,0,35,0,17,30
2013,2013-09-07 18:00:00,0,WEB,UTAH,7,70,13,2,2,25,0,43,69,24,1,0,24,0,38,338
2013,2013-09-07 19:00:00,0,UTM,BSU,14,63,19,2,2,35,4,48,147,25,2,1,32,0,49,220
2013,2013-09-07 19:00:00,0,UNH,CMU,21,24,19,4,1,27,1,43,158,17,0,0,37,1,28,104
2013,2013-09-07 19:30:00,0,TOL,MIZ,23,38,17,0,0,41,3,23,125,23,0,0,25,1,47,172
2013,2013-09-07 19:30:00,0,SDSU,OSU,7,42,17,2,2,41,2,27,64,22,0,0,30,1,40,263
2013,2013-09-07 19:30:00,0,USA,TULN,41,39,25,2,1,33,2,44,168,20,1,1,47,1,27,45
2013,2013-09-07 19:30:00,0,ALCN,MSST,7,51,6,2,2,25,1,25,28,30,0,0,33,1,54,277
2013,2013-09-07 19:30:00,0,ORE,UVA,59,10,25,1,0,29,0,40,350,19,3,1,47,3,39,124
2013,2013-09-07 19:30:00,0,BUFF,BAY,13,70,16,2,1,26,1,49,83,32,0,0,25,0,55,329
2013,2013-09-07 19:30:00,0,USU,AFA,52,20,32,2,1,40,1,46,217,16,2,1,18,0,49,162
2013,2013-09-07 20:00:00,0,IDHO,WYO,10,42,16,3,2,33,0,46,139,25,1,0,39,1,39,262
2013,2013-09-07 20:00:00,0,ODU,MD,10,47,18,1,0,39,3,38,165,28,1,0,23,1,46,312
2013,2013-09-07 20:30:00,0,SC,UGA,30,41,21,1,1,25,0,36,226,25,1,0,23,0,53,227
