Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,WeekDate,Week,HomePtsF,HomePtsA,HomeWins,HomeGames,HomeWinPct,VisPtsF,VisPtsA,VisWins,VisGames,VisWinPct,Spread,HomeConf,VisConf,HomeConf_AAC,HomeConf_ACC,HomeConf_Big10,HomeConf_Big12,HomeConf_ConferenceUSA,HomeConf_Independent,HomeConf_MidAmerican,HomeConf_MountainWest,HomeConf_NotD1,HomeConf_PAC12,HomeConf_SEC,HomeConf_SunBelt,VisConf_AAC,VisConf_ACC,VisConf_Big10,VisConf_Big12,VisConf_ConferenceUSA,VisConf_Independent,VisConf_MidAmerican,VisConf_MountainWest,VisConf_NotD1,VisConf_PAC12,VisConf_SEC,VisConf_SunBelt
2013,2013-09-06 23:00:00,CUR,40,WPI,2749,0,7,14.0,13.0,14.0,,48,7,7.0,7.0,7.0,,28,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 23:00:00,MOU,481,MAS,379,0,6,8.0,6.0,0.0,,20,0,7.0,14.0,0.0,,21,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 23:00:00,PAC,205,ADR,2003,0,7,0.0,3.0,0.0,,10,6,7.0,7.0,0.0,,20,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 23:00:00,CNJ,2442,URS,2667,0,7,14.0,7.0,0.0,,28,6,0.0,0.0,14.0,,20,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 23:00:00,WES,2909,NIC,2884,0,0,7.0,7.0,7.0,0.0,21,0,7.0,14.0,0.0,6.0,27,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 23:00:00,BEC,479,FIT,114,0,14,0.0,12.0,7.0,,33,0,14.0,7.0,14.0,,35,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 23:00:00,UNCW,286,STU,471,0,0,0.0,10.0,9.0,,19,0,3.0,6.0,0.0,,9,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 23:00:00,UI,389,MIN,2772,0,0,0.0,0.0,0.0,,0,14,13.0,20.0,0.0,,47,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 00:00:00,UCF,2116,FIU,2229,0,0,0.0,0.0,0.0,,0,7,17.0,14.0,0.0,,38,2013-09-07,2,10.0,43.0,0.0,1.0,0.0,38.0,7.0,1.0,1.0,1.0,-38,ConferenceUSA,AAC,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-07 00:00:00,STJ,2600,WIS,2723,0,7,0.0,0.0,7.0,,14,7,0.0,0.0,10.0,,17,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 00:00:00,WAKE,154,BC,103,0,10,7.0,7.0,0.0,,24,7,0.0,0.0,3.0,,10,2013-09-07,2,24.0,14.0,1.0,1.0,1.0,31.0,7.0,1.0,1.0,1.0,14,ACC,ACC,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,2013-09-07 01:00:00,WAY,630,ADST,2001,0,10,27.0,0.0,7.0,,44,0,0.0,0.0,0.0,,0,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 02:00:00,HAR,2810,WIL,2930,0,29,17.0,3.0,15.0,,64,0,13.0,7.0,14.0,,34,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 15:00:00,SHO,2560,CHSO,2127,0,14,9.0,0.0,0.0,,23,7,0.0,0.0,8.0,,15,2013-09-07,2,32.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,LIU,2089,MIL,210,0,2,7.0,7.0,0.0,,16,0,20.0,12.0,15.0,,47,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,CIN,2132,ILL,356,0,7,14.0,7.0,17.0,,45,0,7.0,10.0,0.0,,17,2013-09-07,2,42.0,34.0,1.0,1.0,1.0,42.0,7.0,1.0,1.0,1.0,28,Big10,AAC,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-07 16:00:00,LEW,2333,UTI,390,0,9,13.0,20.0,0.0,,42,6,0.0,0.0,16.0,,22,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,BGW,18,SAL,2776,0,14,7.0,15.0,0.0,,36,0,0.0,0.0,7.0,,7,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,CLK,2805,WES,2695,0,21,7.0,14.0,0.0,,42,0,0.0,0.0,6.0,,6,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,USF,58,MSU,127,0,0,7.0,7.0,7.0,,21,0,6.0,0.0,0.0,,6,2013-09-07,2,26.0,13.0,1.0,1.0,1.0,21.0,53.0,0.0,1.0,0.0,15,Big10,AAC,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-07 16:00:00,SHI,2559,SHE,2974,0,3,17.0,7.0,6.0,,33,0,0.0,0.0,0.0,,0,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,MIN,568,CON,3066,0,8,7.0,14.0,0.0,,29,0,0.0,0.0,0.0,,0,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,NOR,2467,REN,2528,0,6,0.0,7.0,7.0,,20,0,7.0,0.0,0.0,,7,2013-09-07,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,EKY,2198,LOU,97,0,14,13.0,10.0,7.0,,44,0,0.0,0.0,7.0,,7,2013-09-07,2,49.0,7.0,1.0,1.0,1.0,38.0,6.0,1.0,1.0,1.0,37,AAC,NotD1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,BGSU,189,KENT,2309,0,8,14.0,0.0,0.0,,22,7,17.0,10.0,7.0,,41,2013-09-07,2,17.0,10.0,1.0,1.0,1.0,34.0,7.0,1.0,1.0,1.0,-19,MidAmerican,MidAmerican,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,2013-09-07 16:00:00,CHO,2804,CHAR,2429,0,19,7.0,14.0,7.0,,47,0,7.0,0.0,0.0,,7,2013-09-07,2,52.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-07 16:00:00,EMU,2199,PSU,213,0,7,10.0,7.0,21.0,,45,7,0.0,0.0,0.0,,7,2013-09-07,2,23.0,17.0,1.0,1.0,1.0,34.0,24.0,1.0,1.0,1.0,38,Big10,MidAmerican,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
