Visiter,Home,SpreadWag,OverUnderWag,Year,Month,Day,HomeID,VisID
FAU,Kansas State,-24.0,50.0,2016,9,17,2306,2226
Fresno State,Toledo,-21.5,58.5,2016,9,17,2649,278
Boston College,VT,-6.5,41.0,2016,9,17,259,103
USF,Syracuse,12.5,74.0,2016,9,17,183,58
San Diego State,N Illinois,12.0,49.0,2016,9,17,2459,21
North Texas,Florida,-34.0,52.5,2016,9,17,57,249
LA Tech,Texas Tech,-11.0,82.5,2016,9,17,2641,2348
New Mexico St,Kentucky,-22.0,66.0,2016,9,17,96,166
Texas State,Arkansas,-29.5,61.0,2016,9,17,8,326
Ohio,Tennessee,-27.5,57.5,2016,9,17,2633,195
Akron,Marshall,-17.5,56.0,2016,9,17,276,2006
Oregon,Nebraska,-3.0,73.5,2016,9,17,158,2483
UCLA,BYU,3.0,51.5,2016,9,17,252,26
Miami (FL),Appalachian St,4.0,51.5,2016,9,17,2026,2390
Pitt,Oklahoma State,-3.0,58.0,2016,9,17,197,221
UL Monroe,Ga Southern,-26.5,58.0,2016,9,17,290,2433
Old Dominion,North Carolina St,-24.5,59.0,2016,9,17,152,295
Troy,Southern Miss,-9.0,61.5,2016,9,17,2572,2653
South Alabama,LA-Lafayette,-2.5,52.5,2016,9,17,309,6
Kansas,Memphis,-20.0,60.0,2016,9,17,235,2305
Michigan State,Notre Dame,-7.5,50.5,2016,9,17,87,127
Texas A&M,Auburn,-2.0,55.0,2016,9,17,2,245
Duke,Northwestern,-4.0,47.0,2016,9,17,77,150
OSU,Oklahoma,1.0,59.0,2016,9,17,201,194
Alabama,Ole Miss,10.5,53.0,2016,9,17,145,333
Georgia,Missouri,7.0,54.0,2016,9,17,142,61
Navy,Tulane,6.5,43.5,2016,9,17,2655,2426
USC,Stanford,-7.0,52.0,2016,9,17,24,30
Texas,Cal,7.5,80.5,2016,9,17,25,251
Buffalo,Nevada,-11.0,51.0,2016,9,17,2440,2084
Utah,San Jose State,13.0,47.0,2016,9,17,23,254
Idaho,Washington St,-28.0,68.5,2016,9,17,265,70
Maryland,UCF,11.0,56.5,2016,9,17,2116,120
W Kentucky,Miami (OH),17.0,63.5,2016,9,17,193,98
Miss St,LSU,-13.5,47.0,2016,9,17,99,344
FIU,UMass,1.0,49.0,2016,9,17,113,2229
Army,UTEP,3.5,47.0,2016,9,17,2638,349
Hawaii,Arizona,-23.5,63.0,2016,9,17,12,62
Clemson,Georgia Tech,10.5,58.0,2016,9,22,59,228
TCU,SMU,21.0,67.5,2016,9,23,2567,2628
Wyoming,E Michigan,5.0,60.5,2016,9,23,2199,2751
USC,Utah,-3.0,44.5,2016,9,23,254,30
Cent Michigan,UVA,5.0,52.0,2016,9,24,258,2117
Ball State,FAU,3.0,53.5,2016,9,24,2226,2050
UCF,FIU,9.5,52.5,2016,9,24,2229,2116
Army,Buffalo,13.0,50.0,2016,9,24,2084,349
ECU,VT,-15.0,57.5,2016,9,24,259,151
Syracuse,UConn,-3.0,57.5,2016,9,24,41,183
Penn State,Michigan,-15.5,56.5,2016,9,24,130,213
Iowa,Rutgers,14.5,56.5,2016,9,24,164,2294
Wake Forest,Indiana,-7.0,48.0,2016,9,24,84,154
San Jose State,Iowa State,-7.0,53.5,2016,9,24,66,23
Miss St,UMass,22.5,49.5,2016,9,24,113,344
Colorado State,Minnesota,-17.0,56.5,2016,9,24,135,36
BYU,West Virginia,-7.0,53.0,2016,9,24,277,252
North Texas,Rice,-7.0,54.0,2016,9,24,242,249
Ga Southern,W Michigan,-8.5,56.5,2016,9,24,2711,290
Charlotte,Temple,-25.0,54.0,2016,9,24,218,2429
Pitt,UNC,-7.0,66.0,2016,9,24,153,221
Southern Miss,UTEP,13.5,58.5,2016,9,24,2638,2572
Oklahoma State,Baylor,-7.0,73.5,2016,9,24,239,197
Louisville,Marshall,31.0,70.0,2016,9,24,276,97
Kent State,Alabama,-43.5,50.0,2016,9,24,333,2309
Duke,Notre Dame,-19.5,59.5,2016,9,24,87,150
New Mexico St,Troy,-20.0,66.0,2016,9,24,2653,166
Vanderbilt,W Kentucky,-8.5,50.0,2016,9,24,98,238
Arkansas,Texas A&M,-6.5,51.5,2016,9,24,245,8
Nevada,Purdue,-3.5,60.0,2016,9,24,2509,2440
LA-Lafayette,Tulane,-3.0,47.0,2016,9,24,2655,309
Georgia,Ole Miss,-7.0,61.0,2016,9,24,145,61
Miami (OH),Cincinnati,-15.0,56.0,2016,9,24,2132,193
LA Tech,Mid Tennessee,-4.0,69.5,2016,9,24,2393,2348
UTSA,Old Dominion,-5.5,50.5,2016,9,24,295,2636
South Carolina,Kentucky,-2.5,58.0,2016,9,24,96,2579
Florida,Tennessee,-4.0,42.5,2016,9,24,2633,57
Bowling Green,Memphis,-17.5,67.5,2016,9,24,235,189
FSU,USF,4.5,63.5,2016,9,24,58,52
Nebraska,Northwestern,8.5,48.0,2016,9,24,77,158
Houston,Texas State,31.5,65.0,2016,9,24,326,248
LSU,Auburn,3.0,46.0,2016,9,24,2,99
Boise State,Oregon State,15.5,61.0,2016,9,24,204,68
Air Force,Utah State,4.5,53.5,2016,9,24,328,2005
Idaho,UNLV,-14.0,62.0,2016,9,24,2439,70
Cal,Arizona State,-3.5,84.5,2016,9,24,9,25
Stanford,UCLA,2.0,47.0,2016,9,24,26,24
Tulsa,Fresno State,15.0,66.0,2016,9,24,278,202
Appalachian St,Akron,4.5,55.0,2016,9,24,2006,2026
Wisconsin,Michigan State,-3.5,43.0,2016,9,24,127,275
Colorado,Oregon,-8.5,71.5,2016,9,24,2483,38
Washington,Arizona,17.0,58.0,2016,9,24,12,264
Kansas,Texas Tech,-27.5,80.0,2016,9,29,2641,2305
UConn,Houston,-28.0,49.5,2016,9,29,248,41
Toledo,BYU,-3.0,51.5,2016,9,30,252,2649
Stanford,Washington,-3.5,46.0,2016,9,30,264,24
Buffalo,Boston College,-17.5,40.5,2016,10,1,103,2084
Memphis,Ole Miss,-15.5,70.0,2016,10,1,145,235
Tulane,UMass,2.5,42.0,2016,10,1,113,2655
Minnesota,Penn State,-3.5,55.0,2016,10,1,213,135
Northwestern,Iowa,-12.5,45.0,2016,10,1,2294,77
Rutgers,OSU,-38.0,59.0,2016,10,1,194,164
Kansas State,West Virginia,-3.0,56.5,2016,10,1,277,2306
UVA,Duke,-3.5,60.5,2016,10,1,150,258
