User,Item,value
2534|2824,SpreadMirage,
235|2546,SpreadMirage,
75|2023,SpreadMirage,
2673|2013,SpreadMirage,
317|2171,SpreadMirage,
3|548,SpreadMirage,
2738|2900,SpreadMirage,
2121|2262,SpreadMirage,
96|2572,SpreadMirage,-3.0
57|113,SpreadMirage,
158|278,SpreadMirage,
2519|2930,SpreadMirage,
333|30,SpreadMirage,-13.5
2628|2571,SpreadMirage,
2758|2904,SpreadMirage,
2320|324,SpreadMirage,
2638|166,SpreadMirage,-9.5
2641|2617,SpreadMirage,
2295|2155,SpreadMirage,
2402|487,SpreadMirage,
66|2460,SpreadMirage,
2654|2395,SpreadMirage,
265|331,SpreadMirage,
583|124,SpreadMirage,
110243|2834,SpreadMirage,
599|3071,SpreadMirage,
386|29,SpreadMirage,
21|160,SpreadMirage,
16|2848,SpreadMirage,
2|228,SpreadMirage,9.0
301|2703,SpreadMirage,
149|2598,SpreadMirage,
12|252,SpreadMirage,1.0
2751|2459,SpreadMirage,7.0
9|2464,SpreadMirage,
3112|2871,SpreadMirage,
295|2261,SpreadMirage,
2396|2232,SpreadMirage,
2504|2640,SpreadMirage,
2450|2207,SpreadMirage,
251|87,SpreadMirage,3.5
52|145,SpreadMirage,-5.0
2438|2214,SpreadMirage,
2118|2231,SpreadMirage,
138|2687,SpreadMirage,
196|2815,SpreadMirage,
2122|90,SpreadMirage,
2749|402,SpreadMirage,
2808|2969,SpreadMirage,
2951|110,SpreadMirage,
2583|284,SpreadMirage,
2884|15,SpreadMirage,
2487|2038,SpreadMirage,
2221|2818,SpreadMirage,
2229|120,SpreadMirage,11.5
183|97,SpreadMirage,17.0
2015|471,SpreadMirage,
18|2871,SpreadMirage,
135|282,SpreadMirage,
151|152,SpreadMirage,6.0
2509|2132,SpreadMirage,3.5
130|2116,SpreadMirage,
61|2447,SpreadMirage,
452|174,SpreadMirage,
248|2320,SpreadMirage,
158|2751,SpreadMirage,
2782|2967,SpreadMirage,
2681|2985,SpreadMirage,
113|103,SpreadMirage,15.5
2842|587,SpreadMirage,
390|427,SpreadMirage,
349|242,SpreadMirage,-8.5
184|2108,SpreadMirage,
209|2205,SpreadMirage,
221|213,SpreadMirage,-3.5
164|47,SpreadMirage,
197|2117,SpreadMirage,
245|2504,SpreadMirage,
2528|365,SpreadMirage,
223|215,SpreadMirage,
286|426,SpreadMirage,
228|2653,SpreadMirage,
52|2127,SpreadMirage,
2168|2523,SpreadMirage,
2911|5829,SpreadMirage,
109|479,SpreadMirage,
2666|2707,SpreadMirage,
323|2700,SpreadMirage,
83|2419,SpreadMirage,
2846|341,SpreadMirage,
297|3112,SpreadMirage,
455|2249,SpreadMirage,
2045|2758,SpreadMirage,
2779|2467,SpreadMirage,
216|118,SpreadMirage,
218|2619,SpreadMirage,
2079|2646,SpreadMirage,
2601|2017,SpreadMirage,
2256|3111,SpreadMirage,
2972|481,SpreadMirage,
273|375,SpreadMirage,
319|2033,SpreadMirage,
2129|2858,SpreadMirage,
2399|2257,SpreadMirage,
2702|2909,SpreadMirage,
246|2175,SpreadMirage,
2849|2845,SpreadMirage,
227|399,SpreadMirage,
2529|2674,SpreadMirage,
2654|556,SpreadMirage,
2339|2876,SpreadMirage,
2089|2441,SpreadMirage,
2230|2207,SpreadMirage,
2559|367,SpreadMirage,
2392|2222,SpreadMirage,
354|72,SpreadMirage,
2986|2148,SpreadMirage,
2369|2560,SpreadMirage,
2667|2248,SpreadMirage,
395|2105,SpreadMirage,
352|391,SpreadMirage,
2422|2234,SpreadMirage,
65|3214,SpreadMirage,
2354|247,SpreadMirage,
2838|110254,SpreadMirage,
2262|2373,SpreadMirage,
190|2812,SpreadMirage,
351|2551,SpreadMirage,
30|328,SpreadMirage,-16.5
2850|2721,SpreadMirage,
421|2524,SpreadMirage,
2237|2069,SpreadMirage,
2553|2688,SpreadMirage,
75|565,SpreadMirage,
409|124,SpreadMirage,
2286|2564,SpreadMirage,
2042|2964,SpreadMirage,
272|2595,SpreadMirage,
277|2754,SpreadMirage,
2152|2738,SpreadMirage,
2424|2146,SpreadMirage,
2816|2699,SpreadMirage,
2316|2166,SpreadMirage,
81|374,SpreadMirage,
63|2600,SpreadMirage,
2686|146,SpreadMirage,
3071|2691,SpreadMirage,
101|446,SpreadMirage,
268|109418,SpreadMirage,
2745|2056,SpreadMirage,
417|2189,SpreadMirage,
2283|2832,SpreadMirage,
133|67,SpreadMirage,
266|255,SpreadMirage,
396|126,SpreadMirage,
2044|263,SpreadMirage,
114|293,SpreadMirage,
236|2506,SpreadMirage,
2295|433,SpreadMirage,
2968|2723,SpreadMirage,
60|2310,SpreadMirage,
330|2839,SpreadMirage,
2005|2247,SpreadMirage,
559|2043,SpreadMirage,
6845|306,SpreadMirage,
2825|561,SpreadMirage,
2772|3066,SpreadMirage,
2802|2106,SpreadMirage,
2101|262,SpreadMirage,
74|86,SpreadMirage,
2398|386,SpreadMirage,
2919|2685,SpreadMirage,
389|2594,SpreadMirage,
2740|2891,SpreadMirage,
2900|2744,SpreadMirage,
2557|2383,SpreadMirage,
2305|195,SpreadMirage,-2.5
2940|2206,SpreadMirage,
630|2834,SpreadMirage,
11|2123,SpreadMirage,
101161|418,SpreadMirage,
59|2382,SpreadMirage,
2323|2232,SpreadMirage,
203|411,SpreadMirage,
233|2692,SpreadMirage,
2213|2913,SpreadMirage,
17|2333,SpreadMirage,
2071|2134,SpreadMirage,
275|2006,SpreadMirage,
333|98,SpreadMirage,
2426|41,SpreadMirage,-3.5
2026|295,SpreadMirage,
2449|331,SpreadMirage,
194|202,SpreadMirage,
57|96,SpreadMirage,-14.0
87|2440,SpreadMirage,
189|155,SpreadMirage,
77|2287,SpreadMirage,
150|154,SpreadMirage,-6.5
239|2567,SpreadMirage,
238|2393,SpreadMirage,-3.0
2444|2676,SpreadMirage,
2710|2464,SpreadMirage,
